"","batch_number","extraction_number","sample_number","Extraction_repeated","Tech_rep_lost","species_field","species_confirmed","Latitude","Longitude","Elevation_GPS_notebook","Elevation_map","family","leaf_age","biological_rep","GoPro.file","site","site_revised","date","whole_leaf_FW","tech_rep_1_FW","tech_rep_2_FW","tech_rep_3_FW","tech_rep_4_FW_fixed","tech_rep_4_DW_fixed","whole_leaf_area.cm2.","freshSLA","tech_rep_1_leaf_area","tech_rep_2_leaf_area","tech_rep_3_leaf_area","tech_rep_4_leaf_area","technical_rep_used_for_ovalbumin_calculation","ovalbumin_added.5uL_of_0.5mg.mL_per_cm2.","random_number","notes.1","notes.2","I.don.t.know.why.these.numbers.are.here","Solvent.Wash.Date","Solvent.Wash.Page.Ref","Phenol.Extraction.Date","Phenol.Extraction.Page.Ref","Resuspension.and.Alkylation.Date","Resuspension.and.Alkylation.Page.Ref","Lavapep.Date","Lavapep.Page.Ref","Lavapep.File.Name","Extraction.Notes","Protein.Extract.Concentration..protein.assay..ug.uL.","Protein.Assay..CV","Protein.Extract.Volume..uL.","Extract.Protein.Amount..ug..protein.assay.","Protein.per.FW..mg.g..protein.assay.","Protein.per.DW..mg.g..protein.assay.","Protein.per.Leaf.Area..mg.cm2..protein.assay.","X.Ovalbumin.of.Total.Protein","Digest.Protein.Amount..ug..","Amount.Protease.in.Digest..ug.","uL.Protein.Extract.per.Digest","Date.of.ASPEX","ASPEX.Batch","tech_rep_4_FW_ERROR","tech_rep_4_DW_ERROR","LMA..g.m2.","SLA..cm2.g.","LWC....","leaf_FW_check","LWC","LMA"
"320",11,"11-37","YG188",0,NA,"corexi","corexi",-33.045,150.68326,NA,NA,"Myrtaceae","new",2,"157","Yengo_S","NSW_Yengo_S",140620,2.58854,"0.06294","0.05786","0.06594","2.36800","1.35800",37.872,14.63064121,0.920852558,0.8465289,0.964744481,34.64535839,2,4.2,0.691421734,NA,NA,NA,"15/12/2015","Katy 1, p.111","5/01/2016","Katy 1, p.114","14/01/2016","Katy 1, p.118","20/01/2016","Katy 1, p.121",NA,NA,2,6.535288656,750,1532.387096,26.48439502,NA,1.810200568,NA,50,1,24.5,"17/05/2016","6","2.36800","0.89406","391.9716993","25.51204594","42.65202703",0.0338,42.65202703,391.9716993
"323",10,"10-15","YG187",0,NA,"corexi","corexi",-33.045,150.68326,NA,NA,"Myrtaceae","mid",2,"157","Yengo_S","NSW_Yengo_S",140620,1.878,"0.08762","0.07302","0.07272","1.56010","0.89406",28.458,15.15335463,1.327736933,1.106497955,1.101951949,23.64074856,2,5.5,0.466965583,NA,NA,NA,"7/12/2015","Katy 1, p.109","8/12/2015","Katy 1, p.110","13/01/2016","Katy 1, p.117","19/01/2016","Katy 1, p.119",NA,NA,2.4,7.670929572,750,1808.428677,24.76621031,NA,1.634371459,NA,50,1,20.7,"17/05/2016","4","1.56010","0.81016","378.1859943","26.44201571","42.69213512",0.08454,42.69213512,378.1859943
"332",28,"28-46","QL182",0,NA,"banpla","banaqu",-17.92181,146.01045,NA,NA,"Proteaceae","old",3,"384","Mission_Beach_QLD","QLD_Mt_Mackay",150812,1.33434,"0.07988","0.07926","0.07206","1.08150","0.61678",27.26,20.42957567,1.631914505,1.619248168,1.472155223,22.09458609,1,8.2,0.708631966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.08150","0.61678","279.1543582","35.82247493","42.96994914",0.02164,42.96994914,279.1543582
"350",26,"26-27","T047",0,NA,"orirev","orirev",-42.89581,147.23627,1249,1264,"Proteaceae","old",3,"none","Tasmania_MW","TAS_Mt_Wellington",150302,0.64216,"0.06564","0.07406","0.08760","0.36976","0.20902",8.177,12.73358665,0.835832627,0.943049427,1.11546219,4.708370998,1,4.2,0.446202351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.36976","0.20012","443.9327319","22.52593531","43.47144093",0.0451,43.47144093,443.9327319
"367",25,"25-05","QL083",0,NA,"grepte","grepte",-18.43758,146.13636,NA,NA,"Proteaceae","mid",1,"363","S_Cardwell_QLD","QLD_Cardwell_S",150809,0.66284,"0.08106","0.06474","0.05470","0.43112","0.24164",16.65,25.11918412,2.036161065,1.62621598,1.374019371,10.82938266,1,10.2,0.302500585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.43112","0.24164","223.1336796","44.81618381","43.95064019",0.03122,43.95064019,223.1336796
"374",25,"25-02","T205",0,NA,"perjun","perjun",-42.38635,147.05113,NA,NA,"Proteaceae","new",1,"286","Tasmania_BO","TAS_Bothwell",150308,0.5963,"0.07074","0.08936","0.08956","0.30092","0.16852",16.721,28.0412544,1.983638336,2.505766493,2.511374744,8.438174275,1,9.9,0.296922177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.30092","0.15292","199.7114477","50.07224231","43.99840489",0.04572,43.99840489,199.7114477
"376",11,"11-40","YG075",0,NA,"eucpun","eucpun",-32.78244,150.92318,NA,NA,"Myrtaceae","mid",2,"116","Yengo_N","NSW_Yengo_N",140525,0.89266,"0.10232","0.10606","0.09632","0.51854","0.29028",20.014,22.42063048,2.29407891,2.377932068,2.159555127,11.62599373,2,11.9,0.69802127,NA,NA,NA,"15/12/2015","Katy 1, p.111","5/01/2016","Katy 1, p.114","14/01/2016","Katy 1, p.118","20/01/2016","Katy 1, p.121",NA,NA,4.2,0.966344525,750,3183.563457,30.01662698,NA,1.338794955,NA,50,1,11.8,"17/05/2016","6","0.51854","0.27226","249.6818825","40.05096364","44.01974775",0.06942,44.01974775,249.6818825
"393",31,"31-38","QL060",0,NA,"grehil","grehil",-17.96665,145.96806,NA,NA,"Proteaceae","old",1,"344","Mt_Makay_QLD","QLD_Mt_Mackay",150808,4.22188,"0.08648","0.06488","0.06272","3.97230","2.21678",117.024,27.71845718,2.397092177,1.798373502,1.738501634,110.1060275,1,12,0.99430143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.97230","2.21678","201.331394","49.6693526","44.19404375",0.0355,44.19404375,201.331394
"396",26,"26-30","KG093",0,NA,"xylpyr","xylpyr",-33.67856,151.14825,NA,NA,"Proteaceae","old",1,"79","Kuringai_MT_bottom","NSW_Kuringai_bottom",140612,1.72074,"0.07270","0.06050","0.05494","1.50400","0.83750",33.996,19.75661634,1.436306008,1.195275289,1.085428502,29.71395097,2,6,0.458248577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.50400","0.8375","281.8541367","35.47934445","44.31515957",0.0286,44.31515957,281.8541367
"411",13,"13-03","T335",0,NA,"eucglo","eucglo",-42.12299,148.34204,NA,NA,"Myrtaceae","new",2,"259","Tasmania_FY","TAS_Freycinet",150311,1.76982,"0.06430","0.06780","0.05626","1.53656","0.85178",26.192,14.79924512,0.951591461,1.003388819,0.832605531,22.73992808,1,4.8,0.874138099,NA,"The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.165834132,750,2605.647242,NA,NA,NA,NA,50,1,14.4,"31/05/2016","13","1.53656","0.63554","374.5746235","26.69695001","44.56578331",0.0449,44.56578331,374.5746235
"437",27,"27-14","T109",0,NA,"lompol","lompol",-42.88596,147.22224,1047,1100,"Proteaceae","old",2,"200","Tasmania_MW","TAS_Mt_Wellington",150304,0.5696,"0.06914","0.06344","0.05992","0.33838","0.18622",9.516,16.70646067,1.155084691,1.059857865,1.001051124,5.653132163,1,5.8,0.534267813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.33838","0.10478","329.4103068","30.35727721","44.96719664",0.03872,44.96719664,329.4103068
"447",29,"29-16","T103",0,NA,"lompol","lompol",-42.88596,147.22224,1047,1100,"Proteaceae","new",1,"199","Tasmania_MW","TAS_Mt_Wellington",150304,0.48158,"0.07624","0.05562","0.06230","0.11940","0.06554",6.275,13.03002616,0.993409195,0.724730055,0.81177063,1.555785124,1,5,0.75403215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.11940","0.08472","421.2664011","23.73794818","45.10887772",0.16802,45.10887772,421.2664011
"455",7,"DP021","T336",0,NA,"eucglo","eucglo",-42.12299,148.34204,NA,NA,"Myrtaceae","mid",2,"259","Tasmania_FY","TAS_Freycinet",150311,1.51548,"0.07138","0.07704","0.08908","1.12572","0.61650",21.76,14.35848708,1.024908808,1.106177845,1.279054029,16.16363608,1,5.1,0.058287858,NA,"The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook)",NA,"14/09/2015","Siobhan 1, p.92","15/09/2015","Siobhan 1, p.93","13/10/2015","Siobhan 1, p.103","16/11/2015","Katy 1, p.106",NA,NA,6.3,1.092647125,750,4705.426299,65.92079432,NA,4.591068262,NA,50,1,8,"16/05/2016","2","1.12572","0.085178","381.4117053","26.2183878","45.23504957",0.15226,45.23504957,381.4117053
"466",9,"9-30","QL448",0,NA,"corter","corter",-18.71986,138.52217,NA,NA,"Myrtaceae","new",1,"447","Lawn_Hill_QLD","QLD_Lawn_Hill",150826,1.189,"0.07008","0.06006","0.07536","0.91786","0.50082",21.782,18.3195963,1.283837309,1.100274954,1.380564777,16.81482466,1,6.4,0.377524885,"No bead in tech rep 1","No bead in tech rep 1",NA,"2/11/2015","Katy 1, p.98","5/11/2015","Katy 1, p.100","6/11/2015","Katy 1, p.101","17/11/2015","Katy 1, p.107",NA,NA,2.3,4.292859253,750,1761.195792,25.13121849,NA,1.371821632,NA,50,1,21.3,"23/05/2016","10","0.91786","0.50082","297.844319","33.574587","45.43612316",0.06564,45.43612316,297.844319
"474",29,"29-40","T359",0,NA,"lomtin","lomtin",-43.04191,147.95053,NA,NA,"Proteaceae","new",3,"276","Tasmania_TP","TAS_Tasman_Peninsula",150312,0.3986,"0.09058","0.06552","0.06436","0.14894","0.08106",14.786,37.09483191,3.360049875,2.430453387,2.387423382,5.524904265,1,16.8,0.808292502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.14894","0.16292","146.7174744","68.15820707","45.57539949",0.0292,45.57539949,146.7174744
"476",10,"10-01","T331",0,NA,"eucglo","eucglo",-42.12299,148.34204,NA,NA,"Myrtaceae","new",1,"258","Tasmania_FY","TAS_Freycinet",150311,1.22256,"0.06260","0.06342","0.07158","0.92876","0.50504",21.147,17.29731056,1.082811641,1.096995436,1.23814149,16.06505016,1,5.4,0.419013776,NA,"The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook)",NA,"7/12/2015","Katy 1, p.109","8/12/2015","Katy 1, p.110","13/01/2016","Katy 1, p.117","19/01/2016","Katy 1, p.119",NA,NA,3.9,7.32616613,750,2929.308861,46.79407126,NA,2.70528017,NA,50,1,12.8,"17/05/2016","4","0.92876","0.16956","314.3718787","31.80946095","45.62211982",0.0962,45.62211982,314.3718787
"477",20,"20-31","T302",0,NA,"acater","acater",-42.12261,148.34306,NA,NA,"Fabaceae","mid",2,"262","Tasmania_FY","TAS_Freycinet",150311,0.5264,"0.06108","0.07030","0.05518","0.31624","0.17194",22.722,43.16489362,2.636511702,3.034492021,2.38183883,13.65046596,1,13.2,0.810565377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,4.40642212,750,3230.009629,NA,NA,NA,NA,50,1,11.6,NA,NA,"0.31624","0.24474","125.9590702","79.39086866","45.62990134",0.0236,45.62990134,125.9590702
"520",26,"26-07","QL058",0,NA,"grehil","grehil",-17.96665,145.96806,NA,NA,"Proteaceae","new",1,"344","Mt_Makay_QLD","QLD_Mt_Mackay",150808,2.83406,"0.06544","0.05406","0.09300","2.57600","1.38104",69.467,24.51147823,1.604031136,1.325090513,2.279567476,63.14156793,1,8,0.399988227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.57600","1.38104","218.7212078","45.72030349","46.38819876",0.04556,46.38819876,218.7212078
"529",30,"30-17","KG094",0,NA,"xylpyr","xylpyr",-33.67856,151.14825,NA,NA,"Proteaceae","mid",1,"79","Kuringai_MT_bottom","NSW_Kuringai_bottom",140612,1.7446,"0.06532","0.05508","0.05088","1.53896","0.82344",38.4,22.01077611,1.437743895,1.212353548,1.119908288,33.873704,2,6.1,0.857086508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.53896","0.82344","243.0912191","41.13682114","46.49373603",0.03436,46.49373603,243.0912191
"530",25,"25-22","QL059",0,NA,"grehil","grehil",-17.96665,145.96806,NA,NA,"Proteaceae","mid",1,"344","Mt_Makay_QLD","QLD_Mt_Mackay",150808,3.61036,"0.06452","0.06770","0.05882","3.39352","1.81480",94.735,26.23976556,1.692989674,1.776432129,1.54342301,89.04516924,1,8.5,0.33019991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.39352","1.8148","203.8066765","49.06610604","46.52160588",0.0258,46.52160588,203.8066765
"531",11,"11-13","T227",0,NA,"eucten","eucten",-42.38268,147.06002,NA,NA,"Myrtaceae","old",3,"281","Tasmania_BO","TAS_Bothwell",150308,0.75254,"0.08376","0.05808","0.05648","0.51998","0.27780",14.201,18.8707577,1.580614665,1.096013607,1.065820395,9.812416589,1,7.9,0.589380358,NA,NA,NA,"15/12/2015","Katy 1, p.111","5/01/2016","Katy 1, p.114","14/01/2016","Katy 1, p.118","20/01/2016","Katy 1, p.121",NA,NA,5,2.664700221,750,3743.55205,44.69379239,NA,2.36841536,NA,50,1,10,"17/05/2016","7","0.51998","0.3312","283.1106868","35.32187397","46.57486826",0.03424,46.57486826,283.1106868
"536",11,"11-10","YG021",0,NA,"eucfib","euccre",-32.78244,150.92318,NA,NA,"Myrtaceae","mid",1,"127","Yengo_N","NSW_Yengo_N",140419,1.966,"0.09900","0.07800","0.06400","1.69700","0.90386",36.393,18.51119023,1.832607833,1.443872838,1.184716175,31.41348983,2,7.2,0.57987952,NA,"Unsure about light environment pic for this species (SVS notebook 9/6/14 & 2/8/14)",NA,"15/12/2015","Katy 1, p.111","5/01/2016","Katy 1, p.114","14/01/2016","Katy 1, p.118","20/01/2016","Katy 1, p.121",NA,NA,4.4,3.745581287,750,3284.70244,42.11156974,NA,2.274925016,NA,50,1,11.4,"17/05/2016","7","1.69700","0.5591","287.7298909","34.75481803","46.73777254",0.028,46.73777254,287.7298909
"556",22,"22-18","QL063",0,NA,"grehil","grehil",-17.96665,145.96806,NA,NA,"Proteaceae","mid",2,"345","Mt_Makay_QLD","QLD_Mt_Mackay",150808,3.67408,"0.07236","0.06316","0.06066","3.45416","1.82942",105.193,28.63111309,2.071747344,1.808341103,1.73676332,98.89644561,1,10.4,0.011168188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,5.71451955,750,5311.651591,NA,NA,NA,NA,50,1,7.1,NA,NA,"3.45416","1.82942","184.9833924","54.05890698","47.03719573",0.02374,47.03719573,184.9833924
"562",8,"DP064","YG136",0,NA,"eucspa","eucspa",-32.78244,150.92318,NA,NA,"Myrtaceae","mid",2,"121","Yengo_N","NSW_Yengo_N",140608,1.94112,"0.08374","0.06882","0.09424","1.66942","0.88252",32.273,16.62596851,1.392258603,1.144199153,1.566831273,27.75572436,2,5.7,0.211197532,"stringy bark","stringy bark. Previously labelled rep 2, probably mistakenly",NA,"29/09/2015","Siobhan 1, p.96","30/09/2015","Siobhan 1, p.97","13/10/2015","Siobhan 1, p.103","16/11/2015","Katy 1, p.106",NA,NA,2.3,5.743210165,750,1692.241019,24.58937837,NA,1.478974193,NA,50,1,22.2,"16/05/2016","3","1.66942","0.24994","317.9596355","31.45053297","47.13613111",0.0249,47.13613111,317.9596355
"603",17,"17-46","T128",0,NA,"acamel","acamel",-42.77492,146.39731,NA,NA,"Fabaceae","mid",1,"234","Tasmania_FR","TAS_Frodshams_Pass",150306,0.71008,"0.07680","0.07556","0.06460","0.46664","0.24338",13.313,18.74859171,1.439891843,1.416643589,1.211159024,8.748842835,1,7.2,0.358503008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,1.388963335,750,3575.044597,NA,NA,NA,NA,50,1,10.5,NA,NA,"0.46664","0.12344","278.1853607","35.94725464","47.84416252",0.02648,47.84416252,278.1853607
"606",29,"29-07","KG095",0,NA,"xylpyr","xylpyr",-33.67856,151.14825,NA,NA,"Proteaceae","new",1,"79","Kuringai_MT_bottom","NSW_Kuringai_bottom",140612,2.2279,"0.06252","0.07376","0.07252","1.98936","1.03712",49.976,22.43188653,1.402441546,1.65457595,1.626760411,44.62509779,2,8.3,0.732705503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.98936","1.03712","232.4073339","43.02790206","47.86665058",0.02974,47.86665058,232.4073339
"645",20,"20-01","T083",0,NA,"acaric","acaric",-42.91482,147.24619,727,732,"Fabaceae","mid",1,"213","Tasmania_SP","TAS_The_Springs",150303,0.30742,"0.05568","0.05486","0.05780","0.09484","0.04904",7.611,24.75766053,1.378506538,1.358205257,1.430992779,2.348016525,1,6.9,0.691162874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,6.755546127,750,2742.905068,NA,NA,NA,NA,50,1,13.7,NA,NA,"0.09484","0.07238","208.8571332","47.87961918","48.29185997",0.04424,48.29185997,208.8571332
"709",11,"11-17","T055",0,NA,"eucdel","eucdel",-42.91482,147.24619,727,732,"Myrtaceae","old",2,"208","Tasmania_MW","TAS_The_Springs",150302,1.423,"0.05730","0.06008","0.06648","1.21374","0.61498",26.905,18.90723823,1.083384751,1.135946873,1.256953197,22.94847133,1,5.4,0.605442829,NA,NA,NA,"15/12/2015","Katy 1, p.111","5/01/2016","Katy 1, p.114","14/01/2016","Katy 1, p.118","20/01/2016","Katy 1, p.121",NA,NA,2.8,2.5233177,750,2080.672391,36.31190908,NA,1.920529516,NA,50,1,18,"17/05/2016","7","1.21374","0.53314","267.9829916","37.31580105","49.33181736",0.0254,49.33181736,267.9829916
