sample,tavg,prec,bin_arch,sum,bin_arch_name
KG036,17.2344532012939,1160.86853027344,NA,2905.483880652,NA
KG036,17.2344532012939,1160.86853027344,_26.9,100.654546602,NA
KG036,17.2344532012939,1160.86853027344,_1.3.2,2153.3418355,NA
KG036,17.2344532012939,1160.86853027344,_11,122.374942944,lipid_metabolism
KG036,17.2344532012939,1160.86853027344,_21,1405.115177031,NA
KG036,17.2344532012939,1160.86853027344,_1.1.3,596.537621013,Cytochrome_b6f
KG036,17.2344532012939,1160.86853027344,_27,241.264422008,RNA
KG036,17.2344532012939,1160.86853027344,_8.1+8.2,549.431403769,TCA/_org_transformation
KG036,17.2344532012939,1160.86853027344,_17,357.694398402,hormone_metabolism
KG036,17.2344532012939,1160.86853027344,_8.2,245.624528881,NA
KG036,17.2344532012939,1160.86853027344,_1.3,5809.058249958,Calvin_cycle
KG036,17.2344532012939,1160.86853027344,_20.2,50.591500154,abiotic_stress
KG036,17.2344532012939,1160.86853027344,_2,NA,NA
KG036,17.2344532012939,1160.86853027344,_29.6,358.675910705,protein_folding
KG036,17.2344532012939,1160.86853027344,_28,104.4799374,DNA
KG036,17.2344532012939,1160.86853027344,_1.1.2,2568.910184391,PSI
KG036,17.2344532012939,1160.86853027344,_1.1.4,6378.646274811,ATP_synthase_chloroplastic
KG036,17.2344532012939,1160.86853027344,_30,258.228570393,signalling
KG037,17.2344532012939,1160.86853027344,_4,663.995248652,glycolysis
KG037,17.2344532012939,1160.86853027344,_16,332.562114739,secondary_metabolism
KG037,17.2344532012939,1160.86853027344,_28,99.534047841,DNA
KG037,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,11463.865235607,Photosystems
KG037,17.2344532012939,1160.86853027344,_9,518.148694291,mitochondrial_electron_transport/ATP_synthesis
KG037,17.2344532012939,1160.86853027344,_29,1958.952094908,protein
KG037,17.2344532012939,1160.86853027344,_2,NA,NA
KG037,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,10959.625987624,Rubisco
KG037,17.2344532012939,1160.86853027344,_1.3.1,8082.936203993,NA
KG037,17.2344532012939,1160.86853027344,_1.1,400.779848977,Light_reactions
KG037,17.2344532012939,1160.86853027344,_1.1.2,2504.407019311,PSI
KG037,17.2344532012939,1160.86853027344,_20.2,51.060297239,abiotic_stress
KG037,17.2344532012939,1160.86853027344,_8.1,304.482479479,NA
KG037,17.2344532012939,1160.86853027344,_21,1389.565744828,NA
KG037,17.2344532012939,1160.86853027344,_1.1.3,582.548164901,Cytochrome_b6f
KG037,17.2344532012939,1160.86853027344,_1.3,5474.773974017,Calvin_cycle
KG037,17.2344532012939,1160.86853027344,_27,228.993200193,RNA
KG037,17.2344532012939,1160.86853027344,_20.2.1,636.987771025,HSPs
KG037,17.2344532012939,1160.86853027344,_1.2,1039.969381871,Photorespiration
KG037,17.2344532012939,1160.86853027344,_8.1+8.2,515.326550883,TCA/_org_transformation
KG037,17.2344532012939,1160.86853027344,NA,2786.344097693,NA
KG037,17.2344532012939,1160.86853027344,_26.9,89.555692667,NA
KG037,17.2344532012939,1160.86853027344,_8.2,210.844071404,NA
KG037,17.2344532012939,1160.86853027344,_22,0.805013589,polyamine_metabolism
KG037,17.2344532012939,1160.86853027344,_3,3275.080533587,NA
KG037,17.2344532012939,1160.86853027344,_30,228.307401451,signalling
KG037,17.2344532012939,1160.86853027344,_21+26.9,1479.121437495,redox
KG037,17.2344532012939,1160.86853027344,_11,NA,lipid_metabolism
KG037,17.2344532012939,1160.86853027344,_29.6,357.44125343,protein_folding
KG037,17.2344532012939,1160.86853027344,_17,258.886563718,hormone_metabolism
KG037,17.2344532012939,1160.86853027344,_1.1.4,6297.479032088,ATP_synthase_chloroplastic
KG037,17.2344532012939,1160.86853027344,_1.3.2,2876.689783631,NA
KG037,17.2344532012939,1160.86853027344,_1.1.1,8959.458216296,PSII
KG038,17.2344532012939,1160.86853027344,_1.1,285.156593857,Light_reactions
KG038,17.2344532012939,1160.86853027344,_29,1787.634231524,protein
KG038,17.2344532012939,1160.86853027344,_8.2,168.991076356,NA
KG038,17.2344532012939,1160.86853027344,_30,196.303046366,signalling
KG038,17.2344532012939,1160.86853027344,_1.1.1,5768.846010117,PSII
KG038,17.2344532012939,1160.86853027344,_1.3.2,1162.601083441,NA
KG038,17.2344532012939,1160.86853027344,NA,1756.544128353,NA
KG038,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,7389.36320732,Photosystems
KG038,17.2344532012939,1160.86853027344,_21,1035.434168603,NA
KG038,17.2344532012939,1160.86853027344,_1.1.4,3344.80569759,ATP_synthase_chloroplastic
KG038,17.2344532012939,1160.86853027344,_3,2148.697963149,NA
KG038,17.2344532012939,1160.86853027344,_17,303.168399107,hormone_metabolism
KG038,17.2344532012939,1160.86853027344,_8.1,249.845427842,NA
KG038,17.2344532012939,1160.86853027344,_1.2,654.747130611,Photorespiration
KG038,17.2344532012939,1160.86853027344,_8.1+8.2,418.836504198,TCA/_org_transformation
KG038,17.2344532012939,1160.86853027344,_29.6,257.957361358,protein_folding
KG038,17.2344532012939,1160.86853027344,_22,0.674500867,polyamine_metabolism
KG038,17.2344532012939,1160.86853027344,_16,260.764433203,secondary_metabolism
KG038,17.2344532012939,1160.86853027344,_20.2,45.696049407,abiotic_stress
KG038,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,3502.855751616,Rubisco
KG038,17.2344532012939,1160.86853027344,_4,554.752667993,glycolysis
KG038,17.2344532012939,1160.86853027344,_1.1.3,442.801333134,Cytochrome_b6f
KG038,17.2344532012939,1160.86853027344,_2,NA,NA
KG038,17.2344532012939,1160.86853027344,_11,132.210901261,lipid_metabolism
KG038,17.2344532012939,1160.86853027344,_27,172.541374999,RNA
KG038,17.2344532012939,1160.86853027344,_1.3,3253.278648018,Calvin_cycle
KG038,17.2344532012939,1160.86853027344,_1.1.2,1620.517197203,PSI
KG038,17.2344532012939,1160.86853027344,_21+26.9,1094.548518229,redox
KG038,17.2344532012939,1160.86853027344,_28,118.947604395,DNA
KG038,17.2344532012939,1160.86853027344,_26.9,59.114349626,NA
KG038,17.2344532012939,1160.86853027344,_9,450.07978653,mitochondrial_electron_transport/ATP_synthesis
KG038,17.2344532012939,1160.86853027344,_1.3.1,2340.254668175,NA
KG038,17.2344532012939,1160.86853027344,_20.2.1,620.062790223,HSPs
KG049,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,13526.572482498,Photosystems
KG049,17.2344532012939,1160.86853027344,_20.2,468.788030497,abiotic_stress
KG049,17.2344532012939,1160.86853027344,_1.1,378.813233088,Light_reactions
KG049,17.2344532012939,1160.86853027344,_9,842.687823392,mitochondrial_electron_transport/ATP_synthesis
KG049,17.2344532012939,1160.86853027344,_30,331.363450873,signalling
KG049,17.2344532012939,1160.86853027344,_29,3903.707759241,protein
KG049,17.2344532012939,1160.86853027344,_17,363.755824386,hormone_metabolism
KG049,17.2344532012939,1160.86853027344,_2,3310.640534198,NA
KG049,17.2344532012939,1160.86853027344,_8.1,410.867246662,NA
KG049,17.2344532012939,1160.86853027344,_27,603.074245166,RNA
KG049,17.2344532012939,1160.86853027344,_16,497.848368311,secondary_metabolism
KG049,17.2344532012939,1160.86853027344,_1.3.2,3253.0853989,NA
KG049,17.2344532012939,1160.86853027344,_26.9,113.519523402,NA
KG049,17.2344532012939,1160.86853027344,_1.1.3,900.927309344,Cytochrome_b6f
KG049,17.2344532012939,1160.86853027344,_1.2,1491.203234262,Photorespiration
KG049,17.2344532012939,1160.86853027344,_11,228.704010889,lipid_metabolism
KG049,17.2344532012939,1160.86853027344,_28,350.052028446,DNA
KG049,17.2344532012939,1160.86853027344,NA,4013.729098362,NA
KG049,17.2344532012939,1160.86853027344,_8.1+8.2,701.209733071,TCA/_org_transformation
KG049,17.2344532012939,1160.86853027344,_1.3.1,4588.566456697,NA
KG049,17.2344532012939,1160.86853027344,_3,NA,NA
KG049,17.2344532012939,1160.86853027344,_20.2.1,1139.244902868,HSPs
KG049,17.2344532012939,1160.86853027344,_21,2456.626028907,NA
KG049,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,7841.651855597,Rubisco
KG049,17.2344532012939,1160.86853027344,_29.6,554.038917357,protein_folding
KG049,17.2344532012939,1160.86853027344,_8.2,290.342486409,NA
KG049,17.2344532012939,1160.86853027344,_1.1.1,10422.922414285,PSII
KG049,17.2344532012939,1160.86853027344,_21+26.9,2570.145552309,redox
KG049,17.2344532012939,1160.86853027344,_4,932.916017008,glycolysis
KG049,17.2344532012939,1160.86853027344,_1.1.4,5803.385976251,ATP_synthase_chloroplastic
KG049,17.2344532012939,1160.86853027344,_22,2.245786604,polyamine_metabolism
KG049,17.2344532012939,1160.86853027344,_1.1.2,3103.650068213,PSI
KG049,17.2344532012939,1160.86853027344,_1.3,6174.321928944,Calvin_cycle
KG050,17.2344532012939,1160.86853027344,_8.1,553.259071746,NA
KG050,17.2344532012939,1160.86853027344,_30,414.598661091,signalling
KG050,17.2344532012939,1160.86853027344,_11,NA,lipid_metabolism
KG050,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,19332.71344179,Photosystems
KG050,17.2344532012939,1160.86853027344,NA,5981.637227431,NA
KG050,17.2344532012939,1160.86853027344,_16,566.981536857,secondary_metabolism
KG050,17.2344532012939,1160.86853027344,_1.2,2133.226384005,Photorespiration
KG050,17.2344532012939,1160.86853027344,_29.6,697.180082415,protein_folding
KG050,17.2344532012939,1160.86853027344,_9,1056.881421787,mitochondrial_electron_transport/ATP_synthesis
KG050,17.2344532012939,1160.86853027344,_17,471.217299679,hormone_metabolism
KG050,17.2344532012939,1160.86853027344,_29,4380.477537892,protein
KG050,17.2344532012939,1160.86853027344,_27,661.74061999,RNA
KG050,17.2344532012939,1160.86853027344,_21+26.9,3308.9006092,redox
KG050,17.2344532012939,1160.86853027344,_1.1.2,4671.322427424,PSI
KG050,17.2344532012939,1160.86853027344,_20.2,984.426250462,abiotic_stress
KG050,17.2344532012939,1160.86853027344,_1.1,725.895230736,Light_reactions
KG050,17.2344532012939,1160.86853027344,_8.1+8.2,938.72420416,TCA/_org_transformation
KG050,17.2344532012939,1160.86853027344,_8.2,385.465132414,NA
KG050,17.2344532012939,1160.86853027344,_21,3158.466350153,NA
KG050,17.2344532012939,1160.86853027344,_20.2.1,1352.233757893,HSPs
KG050,17.2344532012939,1160.86853027344,_4,1333.029684901,glycolysis
KG050,17.2344532012939,1160.86853027344,_1.1.1,14661.391014366,PSII
KG050,17.2344532012939,1160.86853027344,_1.3.2,5795.0422784,NA
KG050,17.2344532012939,1160.86853027344,_2,4100.213631066,NA
KG050,17.2344532012939,1160.86853027344,_28,315.918677218,DNA
KG050,17.2344532012939,1160.86853027344,_1.1.4,9191.98635454,ATP_synthase_chloroplastic
KG050,17.2344532012939,1160.86853027344,_1.3,9308.060051918,Calvin_cycle
KG050,17.2344532012939,1160.86853027344,_1.3.1,6561.131575675,NA
KG050,17.2344532012939,1160.86853027344,_22,2.091639924,polyamine_metabolism
KG050,17.2344532012939,1160.86853027344,_3,6208.828312758,NA
KG050,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,12356.173854075,Rubisco
KG050,17.2344532012939,1160.86853027344,_26.9,150.434259047,NA
KG050,17.2344532012939,1160.86853027344,_1.1.3,1472.936898817,Cytochrome_b6f
KG051,17.2344532012939,1160.86853027344,_1.1.4,14162.51506608,ATP_synthase_chloroplastic
KG051,17.2344532012939,1160.86853027344,_21,4336.513446642,NA
KG051,17.2344532012939,1160.86853027344,NA,10346.419967747,NA
KG051,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,25948.483767456,Photosystems
KG051,17.2344532012939,1160.86853027344,_1.1.2,5881.266073094,PSI
KG051,17.2344532012939,1160.86853027344,_30,583.134595824,signalling
KG051,17.2344532012939,1160.86853027344,_22,3.970416826,polyamine_metabolism
KG051,17.2344532012939,1160.86853027344,_1.1.1,20067.217694362,PSII
KG051,17.2344532012939,1160.86853027344,_8.1,755.378809996,NA
KG051,17.2344532012939,1160.86853027344,_20.2.1,2222.01800853,HSPs
KG051,17.2344532012939,1160.86853027344,_29.6,1059.437349304,protein_folding
KG051,17.2344532012939,1160.86853027344,_21+26.9,4557.421924962,redox
KG051,17.2344532012939,1160.86853027344,_27,1066.971551003,RNA
KG051,17.2344532012939,1160.86853027344,_29,6787.828482892,protein
KG051,17.2344532012939,1160.86853027344,_2,5975.221102896,NA
KG051,17.2344532012939,1160.86853027344,_1.3.2,8477.1006948,NA
KG051,17.2344532012939,1160.86853027344,_8.1+8.2,1346.594648606,TCA/_org_transformation
KG051,17.2344532012939,1160.86853027344,_1.3,16262.182881789,Calvin_cycle
KG051,17.2344532012939,1160.86853027344,_9,1391.486491726,mitochondrial_electron_transport/ATP_synthesis
KG051,17.2344532012939,1160.86853027344,_1.2,2956.450937753,Photorespiration
KG051,17.2344532012939,1160.86853027344,_20.2,1425.649150163,abiotic_stress
KG051,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,18036.618384665,Rubisco
KG051,17.2344532012939,1160.86853027344,_11,431.294899034,lipid_metabolism
KG051,17.2344532012939,1160.86853027344,_8.2,591.21583861,NA
KG051,17.2344532012939,1160.86853027344,_1.1,1041.907417627,Light_reactions
KG051,17.2344532012939,1160.86853027344,_3,8180.459664749,NA
KG051,17.2344532012939,1160.86853027344,_16,927.591394759,secondary_metabolism
KG051,17.2344532012939,1160.86853027344,_26.9,220.90847832,NA
KG051,17.2344532012939,1160.86853027344,_17,734.855079653,hormone_metabolism
KG051,17.2344532012939,1160.86853027344,_28,327.709488811,DNA
KG051,17.2344532012939,1160.86853027344,_1.3.1,9559.517689865,NA
KG051,17.2344532012939,1160.86853027344,_1.1.3,1803.096106012,Cytochrome_b6f
KG051,17.2344532012939,1160.86853027344,_4,1941.33899762,glycolysis
KG077,17.2344532012939,1160.86853027344,_1.3.1,1895.953348739,NA
KG077,17.2344532012939,1160.86853027344,_26.9,49.62960801,NA
KG077,17.2344532012939,1160.86853027344,_8.1,197.226479868,NA
KG077,17.2344532012939,1160.86853027344,_2,1185.110706535,NA
KG077,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,6774.702150654,Photosystems
KG077,17.2344532012939,1160.86853027344,_8.1+8.2,350.05578848,TCA/_org_transformation
KG077,17.2344532012939,1160.86853027344,_27,156.159509051,RNA
KG077,17.2344532012939,1160.86853027344,_1.1.1,5542.922058473,PSII
KG077,17.2344532012939,1160.86853027344,_1.1.2,1231.780092181,PSI
KG077,17.2344532012939,1160.86853027344,_1.1,214.736999642,Light_reactions
KG077,17.2344532012939,1160.86853027344,_20.2,30.822031849,abiotic_stress
KG077,17.2344532012939,1160.86853027344,_9,363.881624531,mitochondrial_electron_transport/ATP_synthesis
KG077,17.2344532012939,1160.86853027344,_21+26.9,943.426178471,redox
KG077,17.2344532012939,1160.86853027344,_3,NA,NA
KG077,17.2344532012939,1160.86853027344,_1.2,575.81488587,Photorespiration
KG077,17.2344532012939,1160.86853027344,NA,1746.089770587,NA
KG077,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,2880.693509446,Rubisco
KG077,17.2344532012939,1160.86853027344,_17,373.352394029,hormone_metabolism
KG077,17.2344532012939,1160.86853027344,_30,180.132833678,signalling
KG077,17.2344532012939,1160.86853027344,_28,102.038266854,DNA
KG077,17.2344532012939,1160.86853027344,_21,893.796570461,NA
KG077,17.2344532012939,1160.86853027344,_22,0.320043918,polyamine_metabolism
KG077,17.2344532012939,1160.86853027344,_1.3,2741.190177208,Calvin_cycle
KG077,17.2344532012939,1160.86853027344,_20.2.1,673.664273609,HSPs
KG077,17.2344532012939,1160.86853027344,_8.2,152.829308612,NA
KG077,17.2344532012939,1160.86853027344,_11,101.580740072,lipid_metabolism
KG077,17.2344532012939,1160.86853027344,_1.3.2,984.740160707,NA
KG077,17.2344532012939,1160.86853027344,_16,246.032443672,secondary_metabolism
KG077,17.2344532012939,1160.86853027344,_29.6,206.254519849,protein_folding
KG077,17.2344532012939,1160.86853027344,_4,573.386186943,glycolysis
KG077,17.2344532012939,1160.86853027344,_1.1.3,377.477498487,Cytochrome_b6f
KG077,17.2344532012939,1160.86853027344,_29,1590.63672329,protein
KG077,17.2344532012939,1160.86853027344,_1.1.4,2347.12689121,ATP_synthase_chloroplastic
KG078,17.2344532012939,1160.86853027344,_1.3.1,2587.348694899,NA
KG078,17.2344532012939,1160.86853027344,_26.9,77.16292968,NA
KG078,17.2344532012939,1160.86853027344,_30,290.558055033,signalling
KG078,17.2344532012939,1160.86853027344,_20.2.1,1008.142539877,HSPs
KG078,17.2344532012939,1160.86853027344,_4,741.517878252,glycolysis
KG078,17.2344532012939,1160.86853027344,_1.1.4,3530.799813526,ATP_synthase_chloroplastic
KG078,17.2344532012939,1160.86853027344,_1.1.1,7210.583596882,PSII
KG078,17.2344532012939,1160.86853027344,NA,2450.865605537,NA
KG078,17.2344532012939,1160.86853027344,_1.1.2,1695.598281341,PSI
KG078,17.2344532012939,1160.86853027344,_1.3,3708.651782596,Calvin_cycle
KG078,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,4642.622373326,Rubisco
KG078,17.2344532012939,1160.86853027344,_1.1,157.962061727,Light_reactions
KG078,17.2344532012939,1160.86853027344,_21+26.9,1397.999356093,redox
KG078,17.2344532012939,1160.86853027344,_8.2,222.068855114,NA
KG078,17.2344532012939,1160.86853027344,_20.2,61.379128958,abiotic_stress
KG078,17.2344532012939,1160.86853027344,_11,201.276048748,lipid_metabolism
KG078,17.2344532012939,1160.86853027344,_28,147.455139865,DNA
KG078,17.2344532012939,1160.86853027344,_29.6,345.782874112,protein_folding
KG078,17.2344532012939,1160.86853027344,_1.3.2,2055.273678427,NA
KG078,17.2344532012939,1160.86853027344,_1.1.3,537.804232303,Cytochrome_b6f
KG078,17.2344532012939,1160.86853027344,_1.2,790.485834052,Photorespiration
KG078,17.2344532012939,1160.86853027344,_9,522.792436882,mitochondrial_electron_transport/ATP_synthesis
KG078,17.2344532012939,1160.86853027344,_21,1320.836426413,NA
KG078,17.2344532012939,1160.86853027344,_17,424.699202305,hormone_metabolism
KG078,17.2344532012939,1160.86853027344,_8.1+8.2,522.9357556,TCA/_org_transformation
KG078,17.2344532012939,1160.86853027344,_22,0.771838395,polyamine_metabolism
KG078,17.2344532012939,1160.86853027344,_3,NA,NA
KG078,17.2344532012939,1160.86853027344,_29,2686.538361502,protein
KG078,17.2344532012939,1160.86853027344,_2,NA,NA
KG078,17.2344532012939,1160.86853027344,_16,396.593944419,secondary_metabolism
KG078,17.2344532012939,1160.86853027344,_8.1,300.866900486,NA
KG078,17.2344532012939,1160.86853027344,_27,332.037972162,RNA
KG078,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,8906.181878223,Photosystems
KG079,17.2344532012939,1160.86853027344,_1.2,1006.377880475,Photorespiration
KG079,17.2344532012939,1160.86853027344,_29,2765.925653142,protein
KG079,17.2344532012939,1160.86853027344,_27,281.095449582,RNA
KG079,17.2344532012939,1160.86853027344,_21,1401.823101619,NA
KG079,17.2344532012939,1160.86853027344,_1.1,345.087338925,Light_reactions
KG079,17.2344532012939,1160.86853027344,_20.2.1,991.902201938,HSPs
KG079,17.2344532012939,1160.86853027344,_21+26.9,1477.173682641,redox
KG079,17.2344532012939,1160.86853027344,_8.2,259.804503301,NA
KG079,17.2344532012939,1160.86853027344,_1.1.2,1693.854301761,PSI
KG079,17.2344532012939,1160.86853027344,_20.2,41.153858557,abiotic_stress
KG079,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,8253.667486553,Photosystems
KG079,17.2344532012939,1160.86853027344,_4,832.662508225,glycolysis
KG079,17.2344532012939,1160.86853027344,_8.1+8.2,575.483074029,TCA/_org_transformation
KG079,17.2344532012939,1160.86853027344,_3,NA,NA
KG079,17.2344532012939,1160.86853027344,_28,137.31525345,DNA
KG079,17.2344532012939,1160.86853027344,_1.1.3,498.287922049,Cytochrome_b6f
KG079,17.2344532012939,1160.86853027344,_11,203.361075461,lipid_metabolism
KG079,17.2344532012939,1160.86853027344,_8.1,315.678570728,NA
KG079,17.2344532012939,1160.86853027344,NA,2634.637270695,NA
KG079,17.2344532012939,1160.86853027344,_26.9,75.350581022,NA
KG079,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,4825.045634162,Rubisco
KG079,17.2344532012939,1160.86853027344,_2,NA,NA
KG079,17.2344532012939,1160.86853027344,_1.3.1,3047.792864257,NA
KG079,17.2344532012939,1160.86853027344,_17,440.275130827,hormone_metabolism
KG079,17.2344532012939,1160.86853027344,_16,418.058253469,secondary_metabolism
KG079,17.2344532012939,1160.86853027344,_1.3.2,1777.252769905,NA
KG079,17.2344532012939,1160.86853027344,_22,0.374387448,polyamine_metabolism
KG079,17.2344532012939,1160.86853027344,_30,280.680363998,signalling
KG079,17.2344532012939,1160.86853027344,_1.1.4,3833.688694724,ATP_synthase_chloroplastic
KG079,17.2344532012939,1160.86853027344,_9,557.34202683,mitochondrial_electron_transport/ATP_synthesis
KG079,17.2344532012939,1160.86853027344,_1.1.1,6559.813184792,PSII
KG079,17.2344532012939,1160.86853027344,_29.6,400.369093617,protein_folding
KG079,17.2344532012939,1160.86853027344,_1.3,4926.688220667,Calvin_cycle
KG081,17.2344532012939,1160.86853027344,_1.3.1,4522.645761701,NA
KG081,17.2344532012939,1160.86853027344,_1.2,1899.994635759,Photorespiration
KG081,17.2344532012939,1160.86853027344,_9,1005.799824554,mitochondrial_electron_transport/ATP_synthesis
KG081,17.2344532012939,1160.86853027344,_21,2921.720373169,NA
KG081,17.2344532012939,1160.86853027344,_29.6,544.574135649,protein_folding
