"","BINCODE","NAME"
"179","_20.2.1_, _29.6_","stress.abiotic.heat, protein.folding"
"180","_1.1.3_","PS.lightreaction.cytochrome b6/f"
"181","_4.2.2_","glycolysis.plastid branch.phosphoglucomutase (PGM)"
"182","_29.1.22_","protein.aa activation.asparagine-tRNA ligase"
"183","_16.1.1.10_","secondary metabolism.isoprenoids.non-mevalonate pathway.geranylgeranyl pyrophosphate synthase"
"184","_29.5_","protein.degradation"
"185","_18_","Co-factor and vitamine metabolism"
"186","_20.2.1_","stress.abiotic.heat"
"187","_31.2_","cell.division"
"188","_29.2.1.2.1.12_","protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S12"
"189","_1.1.40_","PS.lightreaction.cyclic electron flow-chlororespiration"
"190","_1.3.4_","PS.calvin cycle.GAP"
"191","_1.1.1.1_","PS.lightreaction.photosystem II.LHC-II"
"192","_21.2.1_","redox.ascorbate and glutathione.ascorbate"
"193","_16.5.1.1.4.1_, _26.10_","secondary metabolism.sulfur-containing.glucosinolates.synthesis.shared.CYP83B1 phenylacetaldoxime monooxygenase, misc.cytochrome P450"
"194","_29.2.4_","protein.synthesis.elongation"
"195","_29.3.2_","protein.targeting.mitochondria"
"196","_1.1.40_","PS.lightreaction.cyclic electron flow-chlororespiration"
"197","_28.2_","DNA.repair"
"198","_27.2_","RNA.transcription"
"199","_35.1_","not assigned.no ontology"
"200","_1.1.1.1_","PS.lightreaction.photosystem II.LHC-II"
"201","_1.1.4.7_","PS.lightreaction.ATP synthase.delta chain"
"202","_27.3.67_","RNA.regulation of transcription.putative transcription regulator"
"203","_29.3.4.99_","protein.targeting.secretory pathway.unspecified"
"204","_1.1.3_","PS.lightreaction.cytochrome b6/f"
"205","_11.1.1.1_","lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation.homomeric Enzyme"
"206","_26.17_","misc.dynamin"
"207","_11.1.4_","lipid metabolism.FA synthesis and FA elongation.ACP oxoacyl reductase"
"208","_17.1.3_","hormone metabolism.abscisic acid.induced-regulated-responsive-activated"
"209","_29.2.2.3.5_","protein.synthesis.ribosome biogenesis.Pre-rRNA processing and modifications.DExD-box helicases"
"210","_29.3.3_","protein.targeting.chloroplast"
"211","_1.1.2.2_","PS.lightreaction.photosystem I.PSI polypeptide subunits"
"212","_3.3_","minor CHO metabolism.sugar alcohols"
"213","_1.1.1.1_","PS.lightreaction.photosystem II.LHC-II"
"214","_35.2_","not assigned.unknown"
"215","_29.2.1.1.1.1.3_","protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S3"
"216","_16.8.5.1_","secondary metabolism.flavonoids.isoflavones.isoflavone reductase"
"217","_31.1.1.1.1_","cell.organisation.cytoskeleton.actin.Actin"
"218","_2.1.2.1_","major CHO metabolism.synthesis.starch.AGPase"
"219","_35.2_","not assigned.unknown"
"220","_1.1.6_","PS.lightreaction.NADH DH"
"221","_29.5.7_","protein.degradation.metalloprotease"
"222","_20.2.1_, _29.6_","stress.abiotic.heat, protein.folding"
"223","_13.1.6.1.10_","amino acid metabolism.synthesis.aromatic aa.chorismate.dehydroquinate/shikimate dehydrogenase"
"224","_2.1.2.2_","major CHO metabolism.synthesis.starch.starch synthase"
"225","_13.1.4.4.3_, _16.5.1.1.1.5_","amino acid metabolism.synthesis.branched chain group.leucine specific.3-isopropylmalate dehydrogenase, secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.methylthioalkylmalate dehydrogenase (MAM-D)"
"226","_5.10_","fermentation.aldehyde dehydrogenase"
"227","_20.2.1_","stress.abiotic.heat"
"228","_30.5_","signalling.G-proteins"
"229","_13.2.3.4_","amino acid metabolism.degradation.aspartate family.methionine"
"230","_29.6_","protein.folding"
"231","_30.11_","signalling.light"
"232","_26.6_","misc.O-methyl transferases"
"233","_35.2_","not assigned.unknown"
"234","_34.1_, _34.1.2_","transport.p- and v-ATPases, transport.p- and v-ATPases.H+-exporting ATPase"
"235","_20.2.1_","stress.abiotic.heat"
"236","_34.21_","transport.calcium"
"237","_35.2_","not assigned.unknown"
"238","_1.3.6_","PS.calvin cycle.aldolase"
"239","_29.5.5_","protein.degradation.serine protease"
"240","_4.1.7_","glycolysis.cytosolic branch.triosephosphate isomerase (TPI)"
"241","_35.2_","not assigned.unknown"
"242","_30.1_","signalling.in sugar and nutrient physiology"
"243","_3.1.2.1_","minor CHO metabolism.raffinose family.raffinose synthases.known"
"244","_35.2_","not assigned.unknown"
"245","_27.3.73_","RNA.regulation of transcription.Zn-finger(CCHC)"
"246","_9.1.2_","mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear"
"247","_35.2_","not assigned.unknown"
"248","_34.30_","transport.H+ transporting pyrophosphatase"
"249","_8.1.3_","TCA / org transformation.TCA.aconitase"
"250","_17.2.2_, _34.3_, _34.99_","hormone metabolism.auxin.signal transduction, transport.amino acids, transport.misc"
"251","_3.1.1.1_, _3.1.1.2_","minor CHO metabolism.raffinose family.galactinol synthases.known, minor CHO metabolism.raffinose family.galactinol synthases.putative"
"252","_29.2.1.1.1.2.11_","protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L11"
"253","_2.2.1.5_","major CHO metabolism.degradation.sucrose.Susy"
"254","_35.2_","not assigned.unknown"
"255","_1.1.4.9_","PS.lightreaction.ATP synthase.subunit B_ (ATPX)"
"256","_29.5.11.5_, _31.4_, _33.99_","protein.degradation.ubiquitin.ubiquitin protease, cell.vesicle transport, development.unspecified"
"257","_20.2.1_","stress.abiotic.heat"
"258","_11.1.9_","lipid metabolism.FA synthesis and FA elongation.long chain fatty acid CoA ligase"
"259","_11.9_","lipid metabolism.lipid degradation"
"260","_26.7_","misc.oxidases - copper, flavone etc"
"261","_35.1.3_","not assigned.no ontology.armadillo/beta-catenin repeat family protein"
"262","_23.4.10_","nucleotide metabolism.phosphotransfer and pyrophosphatases.nucleoside diphosphate kinase"
"263","_26.9_","misc.glutathione S transferases"
"264","_29.2.1.2.2.21_","protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L21"
"265","_29.3.3_","protein.targeting.chloroplast"
"266","_20.2.1_","stress.abiotic.heat"
"267","_1.1.4.1_","PS.lightreaction.ATP synthase.alpha subunit"
"268","_35.2_","not assigned.unknown"
"269","_17_, _26.8_","hormone metabolism, misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases"
"270","_17.7.1.4_, _20.2.3_","hormone metabolism.jasmonate.synthesis-degradation.allene oxidase cyclase, stress.abiotic.drought/salt"
"271","_26.7_, _26.11_","misc.oxidases - copper, flavone etc, misc.alcohol dehydrogenases"
"272","_35.1_","not assigned.no ontology"
"273","_8.3_","TCA / org transformation.carbonic anhydrases"
"274","_23.1.1.1_","nucleotide metabolism.synthesis.pyrimidine.carbamoyl phosphate synthetase"
"275","_2.1.1.1_","major CHO metabolism.synthesis.sucrose.SPS"
"276","_29.5.3_","protein.degradation.cysteine protease"
"277","_35.1.27_","not assigned.no ontology.tetratricopeptide repeat (TPR)"
"278","_1.3.7_","PS.calvin cycle.FBPase"
"279","_13.1.5.3.1_","amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.OASTL"
"280","_1.3.6_, _4.1.10_, _4.3.10_","PS.calvin cycle.aldolase, glycolysis.cytosolic branch.aldolase, glycolysis.unclear/dually targeted.aldolase"
"281","_27.1.1_","RNA.processing.splicing"
"282","_4.1.2_","glycolysis.cytosolic branch.phosphoglucomutase (PGM)"
"283","_1.1.2.2_","PS.lightreaction.photosystem I.PSI polypeptide subunits"
"284","_31.1.1.2_","cell.organisation.cytoskeleton.mikrotubuli"
"285","_21.5_","redox.peroxiredoxin"
"286","_29.4_","protein.postranslational modification"
"287","_7.3_","OPP.electron transfer"
"288","_1.1.4.2_","PS.lightreaction.ATP synthase.beta subunit"
"289","_26.9_","misc.glutathione S transferases"
"290","_26.9_","misc.glutathione S transferases"
"291","_35.1_","not assigned.no ontology"
"292","_26.6_","misc.O-methyl transferases"
"293","_1.1.1.2_","PS.lightreaction.photosystem II.PSII polypeptide subunits"
"294","_29.6_","protein.folding"
"295","_33.99_","development.unspecified"
"296","_26.6_","misc.O-methyl transferases"
"297","_2.1.2.3_","major CHO metabolism.synthesis.starch.starch branching"
"298","_31.1.1.1.3_","cell.organisation.cytoskeleton.actin.actin binding"
"299","_29.6_, _31.3.1_","protein.folding, cell.cycle.peptidylprolyl isomerase"
"300","_11.6_","lipid metabolism.lipid transfer proteins etc"
"301","_27.3.99_","RNA.regulation of transcription.unclassified"
"302","_29.2.1.1.1.1.20_","protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S20"
"303","_34.1.1_, _34.1.1.4_","transport.p- and v-ATPases.H+-transporting two-sector ATPase, transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit E"
"304","_19.14_","tetrapyrrole synthesis.protochlorophyllide reductase"
"305","_31.1.1.2.6_","cell.organisation.cytoskeleton.mikrotubuli.MAP65"
"306","_27.1_","RNA.processing"
"307","_35.1_","not assigned.no ontology"
"308","_29.6_","protein.folding"
"309","_24.2_","Biodegradation of Xenobiotics.lactoylglutathione lyase"
"310","_1.3.3_","PS.calvin cycle.phosphoglycerate kinase"
"311","_29.5.1_","protein.degradation.subtilases"
"312","_34.5_","transport.ammonium"
"313","_1.3.6_","PS.calvin cycle.aldolase"
"314","_26.2_","misc.UDP glucosyl and glucoronyl transferases"
"315","_11.1.8_","lipid metabolism.FA synthesis and FA elongation.acyl coa ligase"
"316","_1.1.2.1_","PS.lightreaction.photosystem I.LHC-I"
"317","_12.2.2_","N-metabolism.ammonia metabolism.glutamine synthetase"
"318","_13.1.3.4_","amino acid metabolism.synthesis.aspartate family.methionine"
"319","_28.1.3.2.1_","DNA.synthesis/chromatin structure.histone.core.H2A"
"320","_27.1_","RNA.processing"
"321","_35.2_","not assigned.unknown"
"322","_20.2.1_","stress.abiotic.heat"
"323","_20.2.1_","stress.abiotic.heat"
"324","_35.2_","not assigned.unknown"
"325","_35.2_","not assigned.unknown"
"326","_9.9_","mitochondrial electron transport / ATP synthesis.F1-ATPase"
"327","_2.2.2.2_","major CHO metabolism.degradation.starch.starch phosphorylase"
"328","_19.3_","tetrapyrrole synthesis.GSA"
"329","_3.3_","minor CHO metabolism.sugar alcohols"
"330","_29.5.11.20_","protein.degradation.ubiquitin.proteasom"
"331","_20.2.1_, _29.6_","stress.abiotic.heat, protein.folding"
"332","_20.2.99_","stress.abiotic.unspecified"
"333","_4.1.4_","glycolysis.cytosolic branch.phosphofructokinase (PFK)"
"334","_21.5_","redox.peroxiredoxin"
"335","_20.2.1_","stress.abiotic.heat"
"336","_29.2.1.2.1.515_","protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S15A"
"337","_19.5_","tetrapyrrole synthesis.porphobilinogen deaminase"
"338","_26.10_","misc.cytochrome P450"
"339","_9.1.2_","mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear"
"340","_27.3.22_","RNA.regulation of transcription.HB,Homeobox transcription factor family"
"341","_29.4_","protein.postranslational modification"
"342","_29.2.1.2.2.36_","protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L36"
"343","_1.1.1.2_","PS.lightreaction.photosystem II.PSII polypeptide subunits"
"344","_29.5_","protein.degradation"
"345","_26.23_","misc.rhodanese"
"346","_35.2_","not assigned.unknown"
"347","_16.8.1.12_","secondary metabolism.flavonoids.anthocyanins.anthocyanidin 3-O-glucosyltransferase"
"348","_35.1_","not assigned.no ontology"
"349","_27.3.99_","RNA.regulation of transcription.unclassified"
"350","_34.1_","transport.p- and v-ATPases"
"351","_20.2.1_","stress.abiotic.heat"
"352","_21.1.1_","redox.thioredoxin.PDIL"
"353","_35.2_","not assigned.unknown"
"354","_26.30_","misc. other Ferredoxins and Rieske domain"
"355","_35.2_","not assigned.unknown"
"356","_34.1_","transport.p- and v-ATPases"
"357","_35.2_","not assigned.unknown"
"358","_29.2.3_","protein.synthesis.initiation"
"359","_29.3.4.99_, _29.4_","protein.targeting.secretory pathway.unspecified, protein.postranslational modification"
"360","_17.1.1.1.1_","hormone metabolism.abscisic acid.synthesis-degradation.synthesis.zeaxanthin epoxidase"
"361","_20.2.1_","stress.abiotic.heat"
"362","_1.3.12_","PS.calvin cycle.PRK"
"363","_35.2_","not assigned.unknown"
"364","_29.6_","protein.folding"
"365","_17.3.2.99_, _29.2.3_","hormone metabolism.brassinosteroid.signal transduction.other, protein.synthesis.initiation"
"366","_29.2.1.2.1.27_, _29.5.11_","protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S27, protein.degradation.ubiquitin"
"367","_31.4_","cell.vesicle transport"
"368","_31.1_","cell.organisation"
"369","_1.3.9_","PS.calvin cycle.seduheptulose bisphosphatase"
"370","_26.9_","misc.glutathione S transferases"
"371","_26.10_","misc.cytochrome P450"
"372","_34.19.1_","transport.Major Intrinsic Proteins.PIP"
"373","_11.9.4.2_","lipid metabolism.lipid degradation.beta-oxidation.acyl CoA DH"
"374","_13.1.3.6.1.2_","amino acid metabolism.synthesis.aspartate family.misc.homoserine.aspartate semialdehyde dehydrogenase"
"375","_29.3.5_, _31.1_","protein.targeting.peroxisomes, cell.organisation"
"376","_31.4_","cell.vesicle transport"
"377","_30.11.1_, _33.99_","signalling.light.COP9 signalosome, development.unspecified"
"378","_9.1.2_","mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear"
"379","_35.2_","not assigned.unknown"
"380","_29.5_","protein.degradation"
"381","_35.1_","not assigned.no ontology"
"382","_26.10_","misc.cytochrome P450"
"383","_21.2.1_","redox.ascorbate and glutathione.ascorbate"
"384","_13.1.6.1.10_","amino acid metabolism.synthesis.aromatic aa.chorismate.dehydroquinate/shikimate dehydrogenase"
"385","_26.13_","misc.acid and other phosphatases"
"386","_29.4_","protein.postranslational modification"
"387","_1.1.4.3_","PS.lightreaction.ATP synthase.epsilon chain"
"388","_25.5_","C1-metabolism.Methylenetetrahydrofolate dehydrogenase & Methenyltetrahydrofolate cyclohydrolase"
"389","_33.99_","development.unspecified"
"390","_20.2.1_","stress.abiotic.heat"
"391","_13.1.4.4.1_","amino acid metabolism.synthesis.branched chain group.leucine specific.2-isopropylmalate synthase"
"392","_29.1.3_","protein.aa activation.threonine-tRNA ligase"
"393","_26.9_","misc.glutathione S transferases"
"394","_21.1_","redox.thioredoxin"
"395","_30.5_","signalling.G-proteins"
"396","_28.2_","DNA.repair"
"397","_29.6_","protein.folding"
"398","_5.2_","fermentation.PDC"
"399","_27.3.39_, _31.1_","RNA.regulation of transcription.AtSR Transcription Factor family, cell.organisation"
"400","_13.1.1.2.1_","amino acid metabolism.synthesis.central amino acid metabolism.aspartate.aspartate aminotransferase"
"401","_20.2.1_","stress.abiotic.heat"
"402","_3.7_","minor CHO metabolism.sugar kinases"
"403","_26.1_","misc.misc2"
"404","_16.1.3.3_","secondary metabolism.isoprenoids.tocopherol biosynthesis.MPBQ/MSBQ methyltransferase"
"405","_27.3.50_, _27.3.67_","RNA.regulation of transcription.General Transcription, RNA.regulation of transcription.putative transcription regulator"
"406","_16.1.4.1_","secondary metabolism.isoprenoids.carotenoids.phytoene synthase"
"407","_35.2_","not assigned.unknown"
"408","_27.1_","RNA.processing"
"409","_29.2.4_","protein.synthesis.elongation"
"410","_29.5.11_, _29.5.11.2_","protein.degradation.ubiquitin, protein.degradation.ubiquitin.E1"
"411","_29.3.4.4_","protein.targeting.secretory pathway.plasma membrane"
"412","_9.6_","mitochondrial electron transport / ATP synthesis.cytochrome c"
"413","_20.1.7_","stress.biotic.PR-proteins"
"414","_19.10_","tetrapyrrole synthesis.magnesium chelatase"
"415","_20.2.1_","stress.abiotic.heat"
"416","_35.2_","not assigned.unknown"
"417","_35.2_","not assigned.unknown"
"418","_35.2_","not assigned.unknown"
"419","_20.2.1_","stress.abiotic.heat"
"420","_26.26.1_","misc.aminotransferases.aminotransferase class IV family protein"
"421","_29.6_","protein.folding"
"422","_35.2_","not assigned.unknown"
