site_id,tavg_recentMonth,prec_recentMonth,Latitude,Longitude,Elevation_map,site_revised,date
56,16.45258054,20.19999992,-42.84732,147.43592,NA,TAS_Mt_Canopus,12/03/2015
57,16.38693551,40.5000004,-43.0403,147.94647,NA,TAS_Tasman_Peninsula,12/03/2015
58,16.38693551,40.5000004,-43.04191,147.95053,NA,TAS_Tasman_Peninsula,12/03/2015
59,16.05790324,67.70000006,-42.14309,148.29854,NA,TAS_Freycinet,10/03/2015
60,17.33854828,55.59999993,-42.1161,148.33585,NA,TAS_Freycinet,11/03/2015
61,17.33854828,55.59999993,-42.10667,148.33655,NA,TAS_Freycinet,11/03/2015
62,17.33854828,55.59999993,-42.12251,148.34189,NA,TAS_Freycinet,11/03/2015
63,17.33854828,55.59999993,-42.12299,148.34204,NA,TAS_Freycinet,11/03/2015
64,17.33854828,55.59999993,-42.12261,148.34306,NA,TAS_Freycinet,11/03/2015
65,12.86112905,28.2000003,-33.045,150.68326,NA,NSW_Yengo_S,19/06/2014
65,12.86112905,28.2000003,-33.045,150.68326,NA,NSW_Yengo_S,20/06/2014
65,12.86112905,28.2000003,-33.045,150.68326,NA,NSW_Yengo_S,23/06/2014
66,19.11112896,158.1999999,-32.78244,150.92318,NA,NSW_Yengo_N,25/05/2014
66,19.11112896,158.1999999,-32.78244,150.92318,NA,NSW_Yengo_N,7/06/2014
66,19.11112896,158.1999999,-32.78244,150.92318,NA,NSW_Yengo_N,8/06/2014
66,19.11112896,158.1999999,-32.78244,150.92318,NA,NSW_Yengo_N,20/04/2014
66,19.11112896,158.1999999,-32.78244,150.92318,NA,NSW_Yengo_N,24/05/2014
66,19.11112896,158.1999999,-32.78244,150.92318,NA,NSW_Yengo_N,19/04/2014
67,13.69709679,9.899999917,-32.7817,150.9291,NA,NSW_Yengo_N,25/05/2014
67,13.69709679,9.899999917,-32.7817,150.9291,NA,NSW_Yengo_N,20/04/2014
67,13.69709679,9.899999917,-32.7817,150.9291,NA,NSW_Yengo_N,7/06/2014
67,13.69709679,9.899999917,-32.7817,150.9291,NA,NSW_Yengo_N,8/06/2014
67,13.69709679,9.899999917,-32.7817,150.9291,NA,NSW_Yengo_N,26/05/2014
67,13.69709679,9.899999917,-32.7817,150.9291,NA,NSW_Yengo_N,9/06/2014
68,15.26209675,50.70000141,-33.68188,151.14428,NA,NSW_Kuringai_bottom,13/06/2014
68,15.26209675,50.70000141,-33.68188,151.14428,NA,NSW_Kuringai_bottom,17/06/2014
68,15.26209675,50.70000141,-33.68188,151.14428,NA,NSW_Kuringai_bottom,18/06/2014
68,15.26209675,50.70000141,-33.68188,151.14428,NA,NSW_Kuringai_bottom,12/06/2014
69,16.18983865,16.60000006,-33.6933,151.14541,NA,NSW_Kuringai_top,11/06/2014
69,16.18983865,16.60000006,-33.6933,151.14541,NA,NSW_Kuringai_top,29/05/2014
69,16.18983865,16.60000006,-33.6933,151.14541,NA,NSW_Kuringai_top,3/06/2014
69,16.18983865,16.60000006,-33.6933,151.14541,NA,NSW_Kuringai_top,4/06/2014
70,15.83096767,49.40000125,-33.67856,151.14825,NA,NSW_Kuringai_bottom,13/06/2014
70,15.83096767,49.40000125,-33.67856,151.14825,NA,NSW_Kuringai_bottom,17/06/2014
70,15.83096767,49.40000125,-33.67856,151.14825,NA,NSW_Kuringai_bottom,12/06/2014
