Protein,MW
Eucgr.E00336.1.p,33623.48144
Eucgr.E02658.1.p,97712.49434
Eucgr.E01119.5.p,38536.33644
Eucgr.E02878.1.p,33090.99804
Eucgr.E01445.1.p,37127.35374
Eucgr.E02420.1.p,40565.01534
Eucgr.E01663.3.p,181836.92074
Eucgr.D00737.1.p,32451.99314
Eucgr.E03299.1.p,17591.54584
Eucgr.E00375.1.p,25934.37444
Eucgr.E03474.1.p,69100.85824
Eucgr.E02408.1.p,31169.99624
Eucgr.E03242.1.p,34708.84324
Eucgr.E03349.1.p,37454.29864
Eucgr.E01069.2.p,47408.22194
Eucgr.E03986.2.p,27491.91934
Eucgr.E03887.1.p,29279.26564
Eucgr.E04053.1.p,40788.85474
Eucgr.E03767.1.p,40917.67564
Eucgr.E02761.1.p,60583.01114
Eucgr.E01702.1.p,22214.40754
Eucgr.E03674.1.p,26167.45274
Eucgr.E00180.1.p,132324.69134
Eucgr.E03613.1.p,26284.84134
Eucgr.E00080.1.p,10939.71204
Eucgr.E01024.1.p,79530.15994
Eucgr.E00873.1.p,68466.74294
Eucgr.E01212.1.p,120169.19684
Eucgr.E01768.1.p,57893.97934
Eucgr.E01729.1.p,42959.22884
Eucgr.E00214.3.p,25527.09414
Eucgr.E02747.1.p,30967.82454
Eucgr.E02058.2.p,12785.07544
Eucgr.E00118.1.p,40674.87954
Eucgr.E00806.1.p,59876.17224
Eucgr.E03447.1.p,38504.68064
Eucgr.E00626.1.p,59340.28594
Eucgr.E02381.1.p,26819.65484
Eucgr.E01706.1.p,14397.37994
Eucgr.E03923.1.p,13258.47644
Eucgr.E03859.1.p,84008.60224
Eucgr.E03838.1.p,40592.78264
Eucgr.E00279.1.p,24438.60854
Eucgr.E00484.1.p,31043.61884
Eucgr.D01602.2.p,51078.90474
Eucgr.E00217.5.p,30241.44774
Eucgr.E00619.1.p,32312.20804
Eucgr.E01027.2.p,62642.22374
Eucgr.E01064.1.p,41416.64894
Eucgr.E03836.1.p,36077.58194
Eucgr.E01334.1.p,26868.59174
Eucgr.E00628.1.p,30991.01394
Eucgr.E00233.1.p,29972.66564
Eucgr.E00280.5.p,30420.12074
Eucgr.E01259.1.p,56949.92904
Eucgr.E00535.1.p,65798.86374
Eucgr.E03312.1.p,33175.75004
Eucgr.E02909.1.p,53254.89984
Eucgr.E00404.2.p,67391.12094
Eucgr.E00015.1.p,32837.80494
Eucgr.E00228.1.p,44837.60894
Eucgr.E01117.5.p,38577.44764
Eucgr.E03983.1.p,69598.65404
Eucgr.E04317.3.p,119555.80934
Eucgr.E00355.1.p,28650.46254
Eucgr.E03957.1.p,27092.34534
Eucgr.E03977.1.p,35690.00234
Eucgr.E04228.3.p,124826.37034
Eucgr.E01144.1.p,44277.63534
Eucgr.E03917.1.p,28990.09084
Eucgr.E01312.2.p,53932.40384
Eucgr.E00577.1.p,56415.81954
Eucgr.E03294.1.p,81463.33254
Eucgr.E01713.1.p,69130.17844
Eucgr.E01104.1.p,38420.10154
Eucgr.E00780.1.p,24776.65544
Eucgr.D01627.1.p,57146.61024
Eucgr.E02476.2.p,182412.99974
Eucgr.E02882.1.p,42079.51674
Eucgr.E00068.1.p,48117.90234
Eucgr.E01926.2.p,21751.79744
Eucgr.E03846.1.p,74934.83394
Eucgr.E01246.1.p,55637.28534
Eucgr.E00356.2.p,32964.82224
Eucgr.E04322.1.p,22421.95824
Eucgr.E00194.2.p,40586.95004
Eucgr.E01551.1.p,30257.85994
Eucgr.E00406.1.p,74408.99654
Eucgr.E01261.1.p,45275.73744
Eucgr.E00844.1.p,162826.81874
Eucgr.E00301.1.p,53145.84574
Eucgr.E00825.1.p,131466.48904
Eucgr.E00488.1.p,24914.65724
Eucgr.E00182.2.p,28216.20024
Eucgr.E00579.1.p,27312.23754
Eucgr.E01881.1.p,39982.58764
Eucgr.E02458.1.p,58971.96914
Eucgr.E04251.1.p,19905.01464
Eucgr.E00812.1.p,20882.97924
Eucgr.E00655.4.p,19842.44104
Eucgr.E00872.1.p,37989.20384
Eucgr.D01635.1.p,43140.72904
Eucgr.E03997.1.p,111026.15814
Eucgr.E04076.1.p,48264.37494
Eucgr.L01249.1.p,84945.29974
Eucgr.L02476.1.p,33856.75494
Eucgr.L03235.1.p,47632.49864
Eucgr.L03563.1.p,45011.11124
Eucgr.L03160.4.p,17615.83524
Eucgr.L01465.1.p,12062.83554
Eucgr.L00752.2.p,28338.11794
Eucgr.J02293.2.p,30883.37034
Eucgr.J01250.1.p,49221.05664
Eucgr.J00895.1.p,80086.96004
Eucgr.J00434.1.p,11889.76164
Eucgr.J00129.1.p,21046.86064
Eucgr.J01051.1.p,35626.44764
Eucgr.J00823.1.p,48133.04954
Eucgr.J01764.3.p,49720.95404
Eucgr.J00023.1.p,71269.77294
Eucgr.J01079.1.p,77189.07584
Eucgr.J01121.1.p,49304.10194
Eucgr.J01753.1.p,39604.24814
Eucgr.J01349.1.p,87994.12074
Eucgr.J01770.1.p,31927.41084
Eucgr.J00305.3.p,35593.97024
Eucgr.J00819.1.p,82969.30724
Eucgr.J02888.2.p,16677.51314
Eucgr.J00683.1.p,52378.28944
Eucgr.J02399.2.p,53887.70264
Eucgr.J00500.1.p,33377.92424
Eucgr.J01847.1.p,25134.22374
Eucgr.J01541.1.p,35450.45474
Eucgr.J01939.1.p,30640.62734
Eucgr.J03028.1.p,41741.95614
Eucgr.J01165.3.p,134346.93044
Eucgr.J01000.2.p,12506.31284
Eucgr.J02467.1.p,48322.56724
Eucgr.J00327.5.p,55201.62944
Eucgr.J01256.1.p,40648.73744
Eucgr.J00524.1.p,50201.87104
Eucgr.J00193.3.p,178757.32034
Eucgr.J00782.1.p,150803.74394
Eucgr.J00874.1.p,54793.81944
Eucgr.J00982.2.p,31440.63234
Eucgr.J01789.1.p,20896.20164
Eucgr.J00612.1.p,91504.10994
Eucgr.J02430.1.p,40828.63134
Eucgr.J00864.1.p,34349.80334
Eucgr.J00625.1.p,12336.47514
Eucgr.J00687.1.p,17426.96894
Eucgr.J01695.1.p,54203.39484
Eucgr.J00313.1.p,104807.58644
Eucgr.J01037.1.p,47793.80174
Eucgr.J00769.1.p,59749.60814
Eucgr.J01218.1.p,47414.54624
Eucgr.J03038.2.p,27219.40044
Eucgr.J02124.3.p,20719.66524
Eucgr.J00247.1.p,12837.01064
Eucgr.J00125.1.p,14866.26064
Eucgr.J01112.1.p,36365.01254
Eucgr.J02223.1.p,54381.31274
Eucgr.J02991.1.p,95664.31474
Eucgr.J01595.2.p,29714.30254
Eucgr.J00449.1.p,163640.26544
Eucgr.J00263.7.p,46996.74304
Eucgr.J03134.1.p,74999.19124
Eucgr.J00330.1.p,39131.63834
Eucgr.J00239.1.p,34943.36484
Eucgr.J02016.1.p,29915.12174
Eucgr.J00015.2.p,41795.81314
Eucgr.J00657.1.p,29584.49464
Eucgr.J00806.1.p,18073.12844
Eucgr.J02596.1.p,25935.22534
Eucgr.J02408.1.p,20148.56684
Eucgr.J01562.1.p,16829.83374
Eucgr.J01749.1.p,55105.88424
Eucgr.J02962.2.p,20948.76624
Eucgr.J00820.1.p,101813.84814
Eucgr.J00468.1.p,43753.07444
Eucgr.J01067.1.p,22139.46814
Eucgr.J00859.1.p,46412.50044
Eucgr.J02246.1.p,39012.31404
Eucgr.J00183.1.p,100844.95584
Eucgr.J01052.1.p,33851.57044
Eucgr.J00237.2.p,35052.40484
Eucgr.J01181.1.p,124757.86634
Eucgr.J01625.1.p,27020.47394
Eucgr.J01702.1.p,22733.02594
Eucgr.J02011.1.p,29950.99754
Eucgr.J00624.1.p,86115.57734
Eucgr.J01027.1.p,16026.06734
Eucgr.J02565.1.p,40052.41164
Eucgr.J02030.1.p,51331.38544
Eucgr.J01697.1.p,32533.96734
Eucgr.J00618.1.p,60380.28574
Eucgr.J00085.3.p,23981.10004
Eucgr.J02302.1.p,49675.70254
Eucgr.J01084.1.p,66102.95974
Eucgr.J00991.1.p,46086.59324
Eucgr.J01800.2.p,16908.35484
Eucgr.J02209.1.p,41644.71554
Eucgr.J01372.2.p,53091.07614
Eucgr.J02927.1.p,29557.15114
Eucgr.J03126.1.p,55519.59434
Eucgr.J02297.1.p,50512.56284
Eucgr.J01599.2.p,19601.56774
Eucgr.J01477.1.p,24690.05974
Eucgr.J00832.1.p,97648.12954
Eucgr.J00292.1.p,46405.42544
Eucgr.J01951.2.p,22090.41254
Eucgr.J03127.2.p,71543.50274
Eucgr.J01771.1.p,123768.03264
Eucgr.J02556.2.p,26481.94234
Eucgr.J01859.1.p,44627.41704
Eucgr.J02478.1.p,17500.70314
Eucgr.J00924.1.p,15062.18034
Eucgr.J02215.1.p,52361.29134
Eucgr.J02842.1.p,46917.63724
Eucgr.J00279.1.p,25673.50614
Eucgr.J02332.1.p,19462.94724
Eucgr.J02263.1.p,29810.28764
Eucgr.J01621.1.p,81088.78574
Eucgr.J01234.1.p,51834.90504
Eucgr.J02955.1.p,66965.58264
Eucgr.J02249.4.p,66169.75104
Eucgr.J02987.2.p,93754.98284
Eucgr.J00347.1.p,40858.75714
Eucgr.J01823.2.p,49869.44114
Eucgr.J01534.1.p,37490.49114
Eucgr.J00121.1.p,28193.17704
Eucgr.J00492.1.p,29902.13054
Eucgr.J00234.1.p,57302.12804
Eucgr.J01899.1.p,83470.96034
Eucgr.J01087.1.p,41360.91464
Eucgr.J02164.3.p,32631.60734
Eucgr.J02958.2.p,15008.43274
Eucgr.J00041.1.p,65465.34924
Eucgr.J01211.1.p,42909.72454
Eucgr.J01455.1.p,55088.13114
Eucgr.J00458.1.p,28767.64074
Eucgr.J01976.1.p,18692.16834
Eucgr.J01028.1.p,58923.39004
Eucgr.J02422.1.p,28119.38944
Eucgr.J00617.1.p,29592.82164
Eucgr.J01907.1.p,186331.06294
Eucgr.J02940.3.p,60159.78544
Eucgr.J02928.1.p,29017.27734
Eucgr.J02453.3.p,47766.34884
Eucgr.J00825.1.p,102172.33284
Eucgr.J00124.1.p,26472.11564
Eucgr.J02122.1.p,60027.71724
Eucgr.J03179.1.p,68770.67474
Eucgr.J01894.1.p,32640.57304
Eucgr.J02455.1.p,113125.80834
Eucgr.J00200.1.p,51002.55284
Eucgr.J00880.1.p,19650.77524
Eucgr.J03086.3.p,22715.76294
Eucgr.J01958.2.p,20863.47734
Eucgr.J01844.1.p,57951.53784
Eucgr.J01128.1.p,46958.32554
Eucgr.J01163.2.p,14411.53714
Eucgr.J00856.1.p,114025.78394
Eucgr.J01722.2.p,32062.84454
Eucgr.J00965.2.p,27334.20594
Eucgr.J00025.1.p,81246.05034
Eucgr.J00673.1.p,199360.63914
Eucgr.J01950.2.p,18701.45644
Eucgr.J01820.1.p,37887.05284
Eucgr.J00343.1.p,34545.32034
Eucgr.J00592.1.p,16370.26064
Eucgr.J01047.1.p,31224.60474
Eucgr.J00048.2.p,16016.32274
Eucgr.J00048.3.p,16079.29524
Eucgr.J03190.3.p,45880.32614
Eucgr.J00824.1.p,101592.60964
Eucgr.J00035.1.p,22748.81464
Eucgr.J00690.3.p,48709.84094
Eucgr.J00242.1.p,42058.11594
Eucgr.J00099.3.p,32341.51204
Eucgr.J01957.1.p,18806.28564
Eucgr.J01758.1.p,51482.29464
Eucgr.J00008.1.p,27224.29034
Eucgr.J02563.1.p,19501.12354
Eucgr.J00332.1.p,34862.48284
Eucgr.J00865.1.p,44875.03484
Eucgr.J02459.1.p,107241.22754
Eucgr.J00669.1.p,55005.04584
Eucgr.J01600.2.p,29775.45004
Eucgr.J01374.1.p,108725.03824
Eucgr.J01359.2.p,58374.14144
Eucgr.J01640.1.p,95106.74384
Eucgr.J00936.1.p,92032.13714
Eucgr.J00930.1.p,30473.42004
Eucgr.J01565.1.p,26547.16324
Eucgr.J00522.2.p,61554.40594
Eucgr.J02957.3.p,15842.45054
Eucgr.J02936.1.p,36335.49024
Eucgr.J02207.3.p,42007.17824
Eucgr.J01142.1.p,35192.04894
Eucgr.J00743.1.p,27697.36304
Eucgr.J01502.1.p,21344.60114
Eucgr.J01502.2.p,20054.24854
Eucgr.J02605.2.p,33887.50764
Eucgr.J03079.1.p,42451.55494
Eucgr.J02824.3.p,41132.45434
Eucgr.J00270.1.p,73904.98634
Eucgr.J00415.1.p,112974.84774
Eucgr.J01096.1.p,26637.54754
Eucgr.J02053.1.p,15468.68214
Eucgr.J00682.1.p,63986.48844
Eucgr.J00180.2.p,58957.06754
Eucgr.J02451.1.p,16721.84354
Eucgr.J02407.2.p,37117.81064
Eucgr.J00821.1.p,51035.13004
Eucgr.J00283.1.p,34771.64294
Eucgr.J03143.1.p,30858.18824
Eucgr.J00583.1.p,46092.03264
Eucgr.J00455.3.p,8382.83524
Eucgr.J01127.1.p,52165.28804
Eucgr.J00431.1.p,66869.96044
Eucgr.J00992.2.p,41718.18724
Eucgr.J02083.1.p,30543.17064
Eucgr.J00465.4.p,11460.78644
Eucgr.J02133.1.p,29307.07674
Eucgr.J00904.1.p,42366.88984
Eucgr.J00662.1.p,44729.94224
Eucgr.J00666.4.p,11232.87854
Eucgr.J02233.1.p,84686.71724
Eucgr.J02839.1.p,90821.44824
Eucgr.J02172.3.p,11713.33214
Eucgr.J00176.1.p,28923.70924
Eucgr.J00325.1.p,46985.65074
Eucgr.J00854.6.p,89438.55434
Eucgr.J00529.1.p,38045.26314
Eucgr.J02175.1.p,21240.55054
Eucgr.J01799.1.p,19882.68244
Eucgr.L02505.1.p,17492.85294
Eucgr.L01968.1.p,26334.47294
Eucgr.L03200.2.p,21529.24554
Eucgr.L01763.1.p,33647.10594
Eucgr.L03228.1.p,23927.38834
Eucgr.L02175.1.p,48797.30454
Eucgr.L01417.1.p,26523.88754
Eucgr.C00658.2.p,53893.95114
Eucgr.C03704.1.p,54549.97854
Eucgr.C02602.2.p,26926.55734
Eucgr.C02159.2.p,64516.80254
Eucgr.C00155.1.p,9908.30374
Eucgr.C03233.1.p,35789.39264
Eucgr.C01265.1.p,78351.44024
Eucgr.C00903.4.p,34271.00514
Eucgr.C02006.1.p,104035.49744
Eucgr.C03347.1.p,20116.32514
Eucgr.E03517.2.p,46101.56704
Eucgr.C03536.1.p,19789.68264
Eucgr.C00646.1.p,114576.32934
Eucgr.C00788.3.p,35062.41914
Eucgr.C00784.3.p,46374.97434
Eucgr.C02535.1.p,20857.85984
Eucgr.C02393.1.p,50802.33274
Eucgr.C02439.1.p,57785.52294
Eucgr.C04198.1.p,65698.17624
Eucgr.C03150.1.p,24240.23764
Eucgr.C00983.1.p,49681.01404
Eucgr.C03488.1.p,15912.43334
Eucgr.C04082.2.p,11467.15114
Eucgr.C00638.1.p,23631.52354
Eucgr.C02894.1.p,49261.21594
Eucgr.C00350.1.p,17554.70324
Eucgr.C01383.1.p,74635.84344
Eucgr.C01113.1.p,25180.66924
Eucgr.C04031.1.p,67662.54014
Eucgr.C00165.2.p,33184.67564
Eucgr.C00059.1.p,54892.66434
Eucgr.C02207.1.p,51300.71624
Eucgr.C02594.1.p,53104.37714
Eucgr.C04003.1.p,75347.87394
Eucgr.C02765.1.p,24511.82214
Eucgr.C03305.1.p,21493.35954
Eucgr.C03020.1.p,70755.12644
Eucgr.C00933.1.p,63405.85704
Eucgr.C03762.1.p,64270.67284
Eucgr.C03004.2.p,47628.45124
Eucgr.C02284.1.p,59320.48704
Eucgr.C03178.1.p,45026.53134
Eucgr.C03791.1.p,40009.57484
Eucgr.C00803.1.p,39412.58614
Eucgr.C00934.2.p,24439.80774
Eucgr.C03896.1.p,80181.97834
Eucgr.C00370.1.p,21366.27374
Eucgr.C02102.1.p,23334.39074
Eucgr.C01159.1.p,13858.12804
Eucgr.C00142.1.p,41304.09134
Eucgr.C01048.1.p,22242.50364
Eucgr.C02721.1.p,51077.84694
Eucgr.C03525.1.p,18948.54794
Eucgr.C03537.1.p,21732.04724
Eucgr.C04235.1.p,24416.66734
Eucgr.C02747.1.p,35621.20404
Eucgr.C01098.1.p,44143.11474
Eucgr.C00962.1.p,14060.14794
Eucgr.C00879.2.p,34564.05374
Eucgr.C01792.2.p,14555.89154
Eucgr.C03337.1.p,23161.59964
Eucgr.C03891.1.p,55228.58374
Eucgr.C00706.1.p,39651.52644
Eucgr.C02498.1.p,20941.95534
Eucgr.C04160.1.p,47820.42714
Eucgr.C02132.2.p,109448.79184
Eucgr.C01279.1.p,128600.07924
Eucgr.C00625.1.p,75137.95744
Eucgr.C04134.2.p,33395.39074
Eucgr.C02604.1.p,73639.27704
Eucgr.C02909.1.p,65379.43444
Eucgr.C00609.1.p,64242.91164
Eucgr.C01514.1.p,50831.32104
Eucgr.C02720.2.p,50666.97184
Eucgr.C03199.1.p,94524.37484
Eucgr.C00760.1.p,57158.24264
Eucgr.C01104.2.p,44428.01094
Eucgr.C02161.1.p,54574.45564
Eucgr.C01388.2.p,27570.18364
Eucgr.C02177.1.p,58419.20884
Eucgr.C04044.1.p,20877.94264
Eucgr.C02422.1.p,20308.31954
Eucgr.C04383.1.p,80281.57094
Eucgr.C00345.1.p,59695.31694
Eucgr.C03291.2.p,56033.86494
Eucgr.C01179.1.p,79008.66814
Eucgr.C01902.1.p,51989.59854
Eucgr.C03901.1.p,59150.33714
Eucgr.C02092.2.p,89168.87794
Eucgr.C02751.1.p,35827.49974
Eucgr.C02263.1.p,11870.01784
Eucgr.C00931.1.p,13906.14784
Eucgr.C00920.1.p,14040.17154
Eucgr.C02505.2.p,36536.38904
Eucgr.C00416.4.p,68345.66164
Eucgr.C00396.1.p,84729.57594
Eucgr.C02727.3.p,46836.99404
Eucgr.C03295.3.p,26794.72444
Eucgr.C01134.2.p,35785.29754
Eucgr.C00901.1.p,25435.97594
Eucgr.C03418.1.p,46627.35844
Eucgr.C01017.1.p,49509.95314
Eucgr.C04131.1.p,42913.40754
Eucgr.E03524.1.p,118808.85124
Eucgr.C02764.1.p,45522.98014
Eucgr.C00820.2.p,37667.94434
Eucgr.C00990.1.p,35644.13344
Eucgr.C00615.1.p,21249.47634
Eucgr.C03728.1.p,54059.29474
Eucgr.C01875.1.p,30854.62644
Eucgr.C03557.1.p,28542.90074
Eucgr.C01646.2.p,43041.66484
Eucgr.C00361.2.p,15105.51054
Eucgr.C03307.1.p,28726.19354
Eucgr.C04091.1.p,110686.91394
Eucgr.C03716.1.p,71889.36844
Eucgr.C01303.1.p,23881.57094
Eucgr.C00846.1.p,57121.12634
Eucgr.C00793.1.p,49121.19794
Eucgr.C00188.1.p,62137.95434
Eucgr.L00282.2.p,56047.27034
Eucgr.C00146.1.p,54198.93874
Eucgr.C04037.1.p,10947.31544
Eucgr.C02897.1.p,62099.00354
Eucgr.C00239.1.p,203960.75354
Eucgr.C02887.3.p,39127.85884
Eucgr.C03953.2.p,57087.59874
Eucgr.C03817.1.p,34715.11184
Eucgr.C03069.1.p,101721.02884
Eucgr.C02176.2.p,24611.33364
Eucgr.C03995.1.p,28321.06364
Eucgr.C01102.1.p,18740.93044
Eucgr.C04084.1.p,14428.88494
Eucgr.C01119.1.p,30316.48364
Eucgr.C03047.1.p,114507.09894
Eucgr.C00141.1.p,69580.24324
Eucgr.C02986.2.p,54009.49424
Eucgr.C03922.1.p,58812.47394
Eucgr.C02133.1.p,25293.48044
Eucgr.C03541.1.p,43239.94134
Eucgr.C02115.1.p,51244.49124
Eucgr.C02313.1.p,20709.94344
Eucgr.C01585.2.p,44624.00214
Eucgr.C02759.1.p,12038.42334
Eucgr.C03898.1.p,78135.88054
Eucgr.C04028.1.p,51070.73804
Eucgr.C01076.2.p,42433.83314
Eucgr.C00756.1.p,210162.12834
Eucgr.C00805.1.p,37180.78744
Eucgr.C01650.1.p,47537.49454
Eucgr.C02905.1.p,109785.07574
Eucgr.C03812.1.p,17343.94434
Eucgr.C00137.2.p,107956.92124
Eucgr.C01749.3.p,48163.28664
Eucgr.C00140.1.p,104545.40494
Eucgr.C00247.2.p,89028.48124
Eucgr.C00769.1.p,92785.63084
Eucgr.C00449.1.p,37604.91254
Eucgr.C03854.1.p,55066.11204
Eucgr.C01003.3.p,64081.76964
Eucgr.C00774.1.p,32480.10994
Eucgr.C01806.1.p,18431.20654
Eucgr.C01174.1.p,23283.95714
Eucgr.C02911.1.p,42910.43044
Eucgr.C03560.1.p,26474.92404
Eucgr.C03782.1.p,37416.80044
Eucgr.C00150.1.p,19326.25554
Eucgr.C00111.1.p,12258.16834
Eucgr.C01171.1.p,37864.18404
Eucgr.L02818.1.p,23833.34344
Eucgr.L03478.1.p,27982.44014
Eucgr.L02358.1.p,22370.84914
Eucgr.L01452.1.p,72923.48154
Eucgr.L02343.1.p,25180.28264
Eucgr.L02935.1.p,19699.05574
Eucgr.L00887.1.p,39511.64484
Eucgr.L03133.1.p,11100.92514
Eucgr.L00543.2.p,45390.80784
Eucgr.L02174.1.p,44354.19824
Eucgr.H02332.2.p,27109.13224
Eucgr.H02832.1.p,88336.72224
Eucgr.H04692.1.p,29242.11484
Eucgr.H00072.3.p,42544.82234
Eucgr.H01013.1.p,35556.80974
Eucgr.H00261.2.p,52708.20324
Eucgr.H01473.3.p,31867.46544
Eucgr.H00199.1.p,76901.14174
Eucgr.H04490.3.p,112269.14254
Eucgr.H04640.3.p,14354.64564
Eucgr.H00652.1.p,76699.81134
Eucgr.H00090.1.p,48497.60334
Eucgr.H02859.1.p,58694.99404
Eucgr.H00243.2.p,106209.62214
Eucgr.H03978.1.p,14133.36494
Eucgr.H01399.1.p,54246.28234
Eucgr.H00675.1.p,21946.98814
Eucgr.H03958.1.p,36033.05924
Eucgr.H02358.3.p,37467.58064
Eucgr.H02852.1.p,53226.15954
Eucgr.H01104.1.p,10682.10944
Eucgr.H01524.1.p,48937.49034
Eucgr.H04314.1.p,52245.21274
Eucgr.H03277.2.p,108884.30934
Eucgr.H02590.1.p,64188.86744
Eucgr.H00596.1.p,48485.81194
Eucgr.H03642.1.p,105095.44124
Eucgr.H04426.3.p,15209.83824
Eucgr.H01167.1.p,23749.67264
Eucgr.H03041.1.p,47165.11104
Eucgr.H00583.1.p,35677.31614
Eucgr.H00222.2.p,82335.22694
Eucgr.H01506.2.p,121790.75774
Eucgr.H00663.2.p,22220.09014
Eucgr.H02866.1.p,61190.42454
Eucgr.H01373.1.p,70475.78354
Eucgr.H03938.1.p,50760.30284
Eucgr.H02345.1.p,59519.22784
Eucgr.H04377.1.p,80279.34184
Eucgr.H02295.1.p,49869.10864
Eucgr.H02295.3.p,42712.67914
Eucgr.H03069.2.p,58666.20854
Eucgr.H04960.4.p,96227.65404
Eucgr.H00041.1.p,120064.38924
Eucgr.H00480.1.p,38483.78904
Eucgr.H04698.1.p,180645.47774
Eucgr.H00192.2.p,49430.55704
Eucgr.H00802.2.p,21267.45554
Eucgr.H04065.1.p,59923.23564
Eucgr.H03100.1.p,41180.88704
Eucgr.H01016.1.p,13390.81624
Eucgr.L00742.2.p,25231.68344
Eucgr.H00817.1.p,49604.12204
Eucgr.H03269.3.p,117705.38744
Eucgr.H00279.1.p,52433.94574
Eucgr.H04086.1.p,53347.65514
Eucgr.H02606.3.p,14485.92024
Eucgr.H02651.2.p,32584.84244
Eucgr.H04374.2.p,32361.28664
Eucgr.H03609.2.p,26277.00724
Eucgr.H04666.1.p,32915.30824
Eucgr.H04329.1.p,15684.89274
Eucgr.H00132.1.p,42959.23514
Eucgr.H02644.1.p,51416.34474
Eucgr.H01151.1.p,17268.00144
Eucgr.H04236.5.p,29032.47364
Eucgr.H04662.1.p,104460.80724
Eucgr.J02694.1.p,28978.19434
Eucgr.H04753.1.p,34119.11364
Eucgr.H00353.1.p,39911.40614
Eucgr.H04629.1.p,14035.93064
Eucgr.L00637.1.p,55951.98544
Eucgr.H00584.1.p,35623.21774
Eucgr.H04551.1.p,20972.69984
Eucgr.H01629.1.p,19768.80924
Eucgr.H00855.2.p,38163.85484
Eucgr.H04017.1.p,17515.22814
Eucgr.H03646.1.p,21782.82444
Eucgr.H01006.1.p,32497.16964
Eucgr.H02826.1.p,33732.93254
Eucgr.H04762.1.p,46128.41554
Eucgr.H03105.1.p,41754.51344
Eucgr.H00078.1.p,59153.20594
Eucgr.H02589.1.p,58672.27724
Eucgr.H00897.1.p,14866.64254
Eucgr.H00286.1.p,41910.86494
Eucgr.H04427.1.p,57534.21174
Eucgr.H00578.1.p,35578.30034
Eucgr.H04387.1.p,20309.61194
Eucgr.H04655.1.p,29372.34144
Eucgr.L00739.1.p,77388.06714
Eucgr.H03047.1.p,35582.05934
Eucgr.H02962.1.p,22606.51664
Eucgr.H04013.2.p,17533.22104
Eucgr.H04452.1.p,63049.13874
Eucgr.H01051.2.p,22005.43944
Eucgr.H02629.2.p,65346.85404
Eucgr.H03385.1.p,40417.60414
Eucgr.H00094.2.p,21921.15094
Eucgr.H03118.1.p,41648.33994
Eucgr.H01479.1.p,43584.49414
Eucgr.H00372.2.p,30135.32234
Eucgr.H04904.1.p,16902.46324
Eucgr.H05051.2.p,51618.50914
Eucgr.H04648.1.p,26548.72494
Eucgr.H01455.3.p,23871.29064
Eucgr.H02593.1.p,65705.30924
Eucgr.H01253.1.p,28133.04804
Eucgr.H03427.1.p,37972.77924
Eucgr.H03771.1.p,45741.43844
Eucgr.H02643.1.p,52105.15634
Eucgr.H01973.1.p,30087.63494
Eucgr.H04500.1.p,99410.81694
Eucgr.H01111.5.p,12136.21894
Eucgr.H01158.1.p,147921.87424
Eucgr.H01623.1.p,11518.08414
Eucgr.H01352.1.p,85027.93904
Eucgr.H00803.1.p,24690.80544
Eucgr.H04142.1.p,83895.33744
Eucgr.H00789.1.p,9938.16664
Eucgr.H04433.2.p,13443.49924
