"","site_id","tavg_recent_month","tmax_recent_month","prec_recent_month","VP_recent_month","Latitude","Longitude","site_revised","date"
"22",20,18.8859999974569,24.7233333587646,4.10000000149012,15.5496666431427,-18.23223,145.53238,"QLD_Blencoe_Falls",2015-08-16
"23",21,18.7506666819255,24.622000058492,4,15.2729999860128,-18.229,145.53618,"QLD_Blencoe_Falls",2015-08-15
"24",22,16.1448334058126,21.1753334681193,6.20000004768372,13.9493332862854,-18.21239,145.54145,"QLD_Blencoe_Falls",2015-08-15
"25",23,18.1929999510447,22.7289999643962,105.300000280142,15.821000067393,-17.37241,145.74322,"QLD_Bartlefrere",2015-08-06
"26",24,18.1929999510447,22.7289999643962,105.300000280142,15.821000067393,-17.36894,145.74353,"QLD_Bartlefrere",2015-08-06
"27",25,18.1929999510447,22.7289999643962,105.300000280142,15.821000067393,-17.36688,145.75258,"QLD_Bartlefrere",2015-08-06
"28",26,18.827833366394,23.4843333562215,103.099998906255,15.7550000031789,-17.37655,145.75883,"QLD_Bartlefrere",2015-08-05
"29",27,18.827833366394,23.4843333562215,103.099998906255,15.7550000031789,-17.37895,145.76094,"QLD_Bartlefrere",2015-08-05
"30",28,18.827833366394,23.4843333562215,103.099998906255,15.7550000031789,-17.37878,145.7617,"QLD_Bartlefrere",2015-08-05
"31",29,18.827833366394,23.4843333562215,103.099998906255,15.7550000031789,-17.37886,145.76225,"QLD_Bartlefrere",2015-08-05
"32",30,19.398166624705,23.9546665827433,53.7000003606081,16.8223334153493,-17.96665,145.96806,"QLD_Mt_Mackay",2015-08-08
"33",31,19.6469999313355,24.4856665929159,53.3999988287687,17.6006667137146,-17.92181,146.01045,"QLD_Mt_Mackay",2015-08-12
"34",32,18.9454999128977,23.4486666997274,51.9000000208616,17.6526667118072,-17.92285,146.06817,"QLD_Mission_Beach",2015-08-12
"35",33,18.845333258311,23.2940000534058,51.9000000208616,17.1893333911896,-17.91588,146.06968,"QLD_Mission_Beach",2015-08-11
"36",34,19.072333463033,24.0813334782918,14.3000001832843,16.8056667009989,-18.37945,146.07626,"QLD_Cardwell_N",2015-08-10
"37",35,19.5238333384196,24.5526666005452,16.7000001966953,16.9236666520437,-18.43758,146.13636,"QLD_Cardwell_S",2015-08-09
"38",36,22.4316668828328,29.6760003407796,11.5999995991588,10.1983333428701,-32.96407,146.16016,"NSW_Round_Hill",2015-04-05
"39",37,22.4316668828328,29.6760003407796,11.5999995991588,10.1983333428701,-32.96381,146.16138,"NSW_Round_Hill",2015-04-05
"40",38,22.4316668828328,29.6760003407796,11.5999995991588,10.1983333428701,-32.96394,146.16149,"NSW_Round_Hill",2015-04-05
"41",39,22.5231666723887,29.7216665903727,12.3999999165535,10.3856666882833,-33.00208,146.16899,"NSW_Round_Hill",2015-04-06
"42",40,22.5393332322439,29.7419997533162,10.4999997839332,10.6376666227976,-33.03783,146.20221,"NSW_Round_Hill",2015-04-06
"43",41,14.8169999917348,20.3113333066305,91.8000008314848,12.9463334401449,-43.03746,146.27668,"TAS_Red_Knoll",2015-03-07
"44",42,12.6565001385907,18.2210002263387,92.1000003665686,10.9933333714803,-42.8358,146.37903,"TAS_Frodshams_Pass",2015-03-07
"45",43,14.4423333962758,20.8123333930969,78.1999996379018,12.0959999084473,-42.77492,146.39731,"TAS_Frodshams_Pass",2015-03-06
"46",44,14.4423333962758,20.8123333930969,78.1999996379018,12.0959999084473,-42.75833,146.40609,"TAS_Frodshams_Pass",2015-03-06
"47",44,14.4423333962758,20.8123333930969,78.1999996379018,12.0959999084473,-42.75833,146.40609,"TAS_Frodshams_Pass",2015-03-07
"48",45,15.3118334283431,22.210666847229,21.9000000730157,11.717333316803,-42.38633,147.05022,"TAS_Bothwell",2015-03-09
"49",46,15.4813334296147,22.58233350118,21.5000000670552,11.8699999809265,-42.38635,147.05113,"TAS_Bothwell",2015-03-08
"50",46,15.4813334296147,22.58233350118,21.5000000670552,11.8699999809265,-42.38635,147.05113,"TAS_Bothwell",2015-03-09
"51",47,15.3118334283431,22.210666847229,21.9000000730157,11.717333316803,-42.38724,147.05174,"TAS_Bothwell",2015-03-09
"52",48,15.3118334283431,22.210666847229,21.9000000730157,11.717333316803,-42.38268,147.06002,"TAS_Bothwell",2015-03-09
"53",48,15.3118334283431,22.210666847229,21.9000000730157,11.717333316803,-42.38268,147.06002,"TAS_Bothwell",2015-03-08
"54",49,10.7025000234445,15.1466667175293,35.4999998062849,11.4030000209808,-42.88515,147.22187,"TAS_Mt_Wellington",2015-03-03
"55",50,10.7176667034626,15.1473333994548,35.2999998033047,11.3836666901906,-42.88596,147.22224,"TAS_Mt_Wellington",2015-03-04
"56",50,10.7176667034626,15.1473333994548,35.2999998033047,11.3836666901906,-42.88596,147.22224,"TAS_Mt_Wellington",2015-03-03
"57",51,13.6329999804497,18.6759999593099,30.2000000625849,11.6543333053589,-42.89145,147.22834,"TAS_Mt_Wellington",2015-03-02
"58",52,13.6329999804497,18.6759999593099,30.2000000625849,11.6543333053589,-42.89581,147.23627,"TAS_Mt_Wellington",2015-03-02
"59",53,13.6329999804497,18.6759999593099,30.2000000625849,11.6543333053589,-42.88986,147.23655,"TAS_Mt_Wellington",2015-03-02
"60",54,13.6329999804497,18.6759999593099,30.2000000625849,11.6543333053589,-42.91482,147.24619,"TAS_The_Springs",2015-03-02
"61",54,13.6329999804497,18.6759999593099,30.2000000625849,11.6543333053589,-42.91482,147.24619,"TAS_The_Springs",2015-03-03
"62",55,16.4653332392375,21.2999998092651,20.1999999210238,12.2213333129883,-42.84638,147.43151,"TAS_Mt_Canopus",2015-03-12
"63",56,16.4653332392375,21.2999998092651,20.1999999210238,12.2213333129883,-42.84732,147.43592,"TAS_Mt_Canopus",2015-03-12
"64",57,16.4060000101725,19.9359999974569,40.5000004023314,13.6373333295186,-43.0403,147.94647,"TAS_Tasman_Peninsula",2015-03-12
"65",58,16.4060000101725,19.9359999974569,40.5000004023314,13.6373333295186,-43.04191,147.95053,"TAS_Tasman_Peninsula",2015-03-12
"66",59,15.9990000009537,19.9463333447774,67.7000000625849,14.3143333594004,-42.14309,148.29854,"TAS_Freycinet",2015-03-10
"67",60,17.445166571935,21.3269998550415,55.5999999269843,15.2303333123525,-42.1161,148.33585,"TAS_Freycinet",2015-03-11
"68",61,17.445166571935,21.3269998550415,55.5999999269843,15.2303333123525,-42.10667,148.33655,"TAS_Freycinet",2015-03-11
"69",62,17.445166571935,21.3269998550415,55.5999999269843,15.2303333123525,-42.12251,148.34189,"TAS_Freycinet",2015-03-11
"70",63,17.445166571935,21.3269998550415,55.5999999269843,15.2303333123525,-42.12299,148.34204,"TAS_Freycinet",2015-03-11
"71",64,17.445166571935,21.3269998550415,55.5999999269843,15.2303333123525,-42.12261,148.34306,"TAS_Freycinet",2015-03-11
"72",65,12.8045000314713,18.5486666997274,28.2000003010035,11.8530000368754,-33.045,150.68326,"NSW_Yengo_S",2014-06-19
"73",65,12.8045000314713,18.5486666997274,28.2000003010035,11.8530000368754,-33.045,150.68326,"NSW_Yengo_S",2014-06-20
"74",65,12.8045000314713,18.5486666997274,28.2000003010035,11.8530000368754,-33.045,150.68326,"NSW_Yengo_S",2014-06-23
"75",66,19.0341666062673,23.9929999669393,158.199999861419,16.9303333282471,-32.78244,150.92318,"NSW_Yengo_N",2014-04-19
"76",66,19.0341666062673,23.9929999669393,158.199999861419,16.9303333282471,-32.78244,150.92318,"NSW_Yengo_N",2014-05-24
"77",66,19.0341666062673,23.9929999669393,158.199999861419,16.9303333282471,-32.78244,150.92318,"NSW_Yengo_N",2014-06-07
"78",66,19.0341666062673,23.9929999669393,158.199999861419,16.9303333282471,-32.78244,150.92318,"NSW_Yengo_N",2014-05-25
"79",66,19.0341666062673,23.9929999669393,158.199999861419,16.9303333282471,-32.78244,150.92318,"NSW_Yengo_N",2014-06-08
"80",66,19.0341666062673,23.9929999669393,158.199999861419,16.9303333282471,-32.78244,150.92318,"NSW_Yengo_N",2014-04-20
"81",67,13.6439999977748,19.7473333358765,8.99999994039536,11.4483333269755,-32.7817,150.9291,"NSW_Yengo_N",2014-05-25
"82",67,13.6439999977748,19.7473333358765,8.99999994039536,11.4483333269755,-32.7817,150.9291,"NSW_Yengo_N",2014-06-07
"83",67,13.6439999977748,19.7473333358765,8.99999994039536,11.4483333269755,-32.7817,150.9291,"NSW_Yengo_N",2014-06-08
"84",67,13.6439999977748,19.7473333358765,8.99999994039536,11.4483333269755,-32.7817,150.9291,"NSW_Yengo_N",2014-06-09
"85",67,13.6439999977748,19.7473333358765,8.99999994039536,11.4483333269755,-32.7817,150.9291,"NSW_Yengo_N",2014-04-20
"86",67,13.6439999977748,19.7473333358765,8.99999994039536,11.4483333269755,-32.7817,150.9291,"NSW_Yengo_N",2014-05-26
"87",68,15.1844999710719,20.3316666285197,50.70000141114,12.9203333536784,-33.68188,151.14428,"NSW_Kuringai_bottom",2014-06-18
"88",68,15.1844999710719,20.3316666285197,50.70000141114,12.9203333536784,-33.68188,151.14428,"NSW_Kuringai_bottom",2014-06-12
"89",68,15.1844999710719,20.3316666285197,50.70000141114,12.9203333536784,-33.68188,151.14428,"NSW_Kuringai_bottom",2014-06-13
"90",68,15.1844999710719,20.3316666285197,50.70000141114,12.9203333536784,-33.68188,151.14428,"NSW_Kuringai_bottom",2014-06-17
"91",69,16.2474999348323,22.0606665929159,12.8000001087785,12.8116666793823,-33.6933,151.14541,"NSW_Kuringai_top",2014-06-03
"92",69,16.2474999348323,22.0606665929159,12.8000001087785,12.8116666793823,-33.6933,151.14541,"NSW_Kuringai_top",2014-06-04
"93",69,16.2474999348323,22.0606665929159,12.8000001087785,12.8116666793823,-33.6933,151.14541,"NSW_Kuringai_top",2014-06-11
"94",69,16.2474999348323,22.0606665929159,12.8000001087785,12.8116666793823,-33.6933,151.14541,"NSW_Kuringai_top",2014-05-29
"95",70,15.7793332735697,21.2739999135335,44.4000012502074,13.1583333333333,-33.67856,151.14825,"NSW_Kuringai_bottom",2014-06-12
"96",70,15.7793332735697,21.2739999135335,44.4000012502074,13.1583333333333,-33.67856,151.14825,"NSW_Kuringai_bottom",2014-06-13
"97",70,15.7793332735697,21.2739999135335,44.4000012502074,13.1583333333333,-33.67856,151.14825,"NSW_Kuringai_bottom",2014-06-17
