licor_number,file_name,licor_date,licor_remarks,sample,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa
MQ2,MQ2/svs140607_.xls,140607,acabin old,YG103,6080.5,0,10.18073288,0.118827367,238.3123484,1.168685752,0.984593066,24.75215149,6,1.42,0.5,2.556,24.57283211,24.75215149,25.04134369,398.7313843,385.959198,20.48163033,21.8549118,64.95702362,69.31234741,499.4508057,1499.984863,0.032035962,98.302948,4.870931625,0.183747679,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83241801,0.001168686,297.9021515,297.7228321,239.9975721,2.209249413,3.132995324,31.87081758,10.01590578,24.6624918,3.116256078,0.113548543,2.148402258,0.967853819,0.071423952,23.4268064,0.617454772,69.14055778,380.5820504,0.018495395
MQ2,MQ2/svs140607_.xls,140607,acabin old,YG103,6261,0,21.79420244,0.121138313,1443.741101,1.244249881,1.029445557,24.71409798,6,1.42,0.5,2.556,25.16707802,24.71409798,26.02316666,1799.596558,1770.76709,19.86371994,21.32662582,60.80139923,65.27924347,499.4364624,1499.836426,0.121140175,98.30133057,-10.85843849,0.182332426,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832394104,0.00124425,297.864098,298.317078,239.9738222,2.255055287,3.125881252,31.79897193,10.47234611,24.940588,3.168432303,0.115656903,2.096435695,1.071996609,0.072758829,141.9216712,0.815319592,67.69922008,1759.256068,0.008386787
MQ2,MQ2/svs140608_.xls,140608,acabin old,YG139,12746,0,23.3331663,0.180408176,1513.955878,1.772367179,1.005865773,24.82886887,6,1.42,0.5,2.556,25.97092438,24.82886887,27.00136185,1800.36377,1760.69104,19.18967819,21.78978157,55.98927689,63.57553482,400.0797119,1499.825684,0.111126639,98.28069305,-12.73368454,0.124165744,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.66679952,0.001772367,297.9788689,299.1209244,239.9721034,2.072617135,3.147380607,32.02440387,10.2346223,25.39989663,3.256280149,0.168514077,2.141514834,1.114765315,0.106329007,148.792633,0.859864589,69.32274976,1748.367185,0.009251599
MQ2,MQ2/svs140608_.xls,140608,acabin old,YG139,12885,0,7.784235813,0.169158708,301.7740461,1.785581431,1.076442509,24.959795,6,1.42,0.5,2.556,25.99624062,24.959795,27.00371552,398.4166565,385.7085571,18.70164299,21.32263184,54.48413086,62.11994553,400.0417175,1499.270874,0.223250687,98.28155518,3.64812088,0.168582171,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666736196,0.001785581,298.109795,299.1462406,239.8833338,2.050054517,3.172063926,32.275272,10.95264016,25.47801781,3.271431524,0.158658524,2.095621418,1.175810106,0.100054361,29.65882257,0.782388777,67.29490686,381.5971649,0.01372755
MQ2,MQ2/svs140609_.xls,140609,acabin old,YG156,5721.5,0,20.88440138,0.056688343,1127.880148,0.632792546,1.093446617,24.66695023,6,1.42,0.5,2.556,25.21975327,24.66695023,26.03012657,1798.690552,1754.756958,19.32731056,20.56529045,59.03390884,62.81523132,300.3824158,1499.41394,0.24427855,98.40074921,-13.3441143,0.064915225,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50063736,0.000632793,297.8169502,298.3697533,239.9062244,2.587509967,3.117086605,31.67746821,11.11217776,24.94335175,3.168954644,0.055458358,2.023639988,1.145314656,0.034769921,110.9842516,0.642755763,64.7615233,1743.726464,0.007756409
MQ2,MQ2/svs140609_.xls,140609,acabin old,YG156,5835,0,3.955200672,0.048111405,252.3298514,0.542940133,1.101605226,24.76882362,6,1.42,0.5,2.556,25.2198143,24.76882362,26.03132629,400.2164307,391.8943787,19.61467743,20.67633247,59.90981293,63.15246582,300.5010681,1499.300659,0.19622305,98.39807892,2.896333694,0.317383349,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500835114,0.00054294,297.9188236,298.3698143,239.8880994,2.620154721,3.13611662,31.8717261,11.19539363,24.99431896,3.178600797,0.047222539,2.034511394,1.144089403,0.029592679,24.82877263,0.643872087,64.59225085,389.8053643,0.00655392
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel1 mid,QL047,1354.999999,0,7.273463717,0.085031494,249.7418481,1.436719095,1.586871369,24.20672226,6,1.42,0.5,2.556,24.31994057,24.20672226,25.02016449,412.980835,399.5281372,13.09602928,15.52072906,39.9498291,47.34644699,350.0029602,1498.803223,0.280061096,93.13329315,2.744068623,-0.08080446,0.015946541,0.004537293,0.034539852,0.00399096,1,-0.219565243,2.737391472,0.583338267,0.001436719,297.3567223,297.4699406,-1.374857129,-0.752516336,3.032367978,32.55944116,17.0387121,24.26333142,3.042678794,0.082293793,1.445496609,1.597182185,0.051672774,23.25928075,0.625092014,48.10624329,395.686519,0.008842834
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel1 mid,QL047,1643.499999,0,27.49312738,0.086088686,1208.696119,1.523432184,1.662005613,24.59213448,6,1.42,0.5,2.556,25.04212189,24.59213448,26.00276947,1829.664307,1777.90564,12.90417862,15.47458935,37.7009964,45.21073532,350.1053772,1500.114746,0.067215472,93.13137054,3.384876728,-0.071620002,0.076991826,0.002226786,0.119479112,0.002720355,1,-0.219565243,2.737391472,0.583508962,0.001523432,297.7421345,298.1921219,-0.910769829,-0.74635763,3.103175328,33.32040868,17.84581933,24.81712819,3.145175376,0.08328361,1.441169715,1.704005661,0.05229721,112.5675261,0.679842671,46.89117102,1763.384622,0.007310855
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel1 new,QL046,866.4999996,0,3.399889571,0.043182202,265.8568807,0.769845609,1.648755928,24.04275703,6,1.42,0.5,2.556,23.51914215,24.04275703,24.00021935,408.9036255,403.3352051,13.40034962,14.53890705,42.88955688,46.53365707,399.7969055,1498.96521,0.175885603,93.12388611,2.214126348,-0.072310701,0.053652845,0.001902051,0.058521505,0.000515557,1,-0.219565243,2.737391472,0.666328176,0.000769846,297.192757,296.6691422,-0.208298826,-0.475278198,3.002675453,32.24388047,17.70497342,23.78094959,2.955791533,0.042464783,1.353919524,1.601872009,0.026604026,24.75762588,0.659146232,44.70936796,401.5394888,0.003785603
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel1 new,QL046,1083,0,17.09235534,0.047780454,1166.399721,0.869543285,1.685429224,24.34985352,6,1.42,0.5,2.556,24.25138092,24.34985352,25.02083588,1823.650146,1791.680176,13.27517509,14.74375248,40.66111755,45.1592865,350.0215759,1500.34668,0.295751899,93.12879944,2.214126348,-0.072310701,0.053652845,0.001902051,0.058521505,0.000515557,0.666666687,-0.219565243,2.737391472,0.583369293,0.000869543,297.4998535,297.4013809,-0.213128067,-0.470469384,3.058497191,32.84158294,18.09783046,24.30061722,3.049486777,0.046903662,1.373067968,1.67641881,0.029392322,108.6254057,0.651008889,44.58633746,1782.652524,0.004275009
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel1 old,QL048,1939.499999,0,1.3924399,0.052012173,351.2092871,1.00987026,1.800546857,24.81687927,6,1.42,0.5,2.556,25.09214592,24.81687927,26.00078201,409.8594666,406.7685852,12.73160267,14.43761635,37.08571625,42.05513763,350.0406189,1498.749756,0.101943135,93.13045502,2.856469393,-0.070175618,0.065223269,0.001980033,0.056351561,0.000686778,1,-0.219565243,2.737391472,0.583401032,0.00100987,297.9668793,298.2421459,-0.248383509,-0.493451158,3.145128637,33.77121519,19.33359884,24.9545126,3.171064777,0.050974882,1.34458178,1.826482997,0.0319509,32.70828071,0.863413006,42.50714211,406.0331416,0.001457729
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel1 old,QL048,2211.999999,0,9.838636349,0.055123105,1433.659383,1.073501266,1.808286872,24.81687546,6,1.42,0.5,2.556,25.11245155,24.81687546,26.0002079,1795.558594,1775.428345,12.54032993,14.35390663,36.48590851,41.76248169,350.0570984,1500.310669,0.078417249,93.13430023,3.325787067,-0.056765623,0.086867861,0.002942243,0.108539805,0.001823941,0.666666687,-0.219565243,2.737391472,0.583428497,0.001073501,297.9668755,298.2624516,-0.612313957,-0.528265002,3.145127922,33.76981321,19.41590658,24.96466351,3.172985032,0.053959408,1.33684105,1.836143982,0.033827285,133.5228634,0.80750056,42.3312914,1770.231882,0.002352698
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel2 mid,QL051,3520.5,0,8.003217923,0.098754272,248.4837366,1.884030386,1.799643739,25.2997303,6,1.42,0.5,2.556,24.25919724,25.2997303,23.98859787,407.5324097,392.5475159,12.24907875,15.42843246,37.5128746,47.24966049,350.0641174,1500.401978,0.181485966,93.15911865,3.778502941,-0.015027158,0.038034074,0.007440035,0.040100068,0.009407591,1,-0.219565243,2.737391472,0.583440196,0.00188403,298.4497303,297.4091972,-3.139048334,-1.161515515,3.236942909,34.74638828,19.31795582,24.77946377,3.138110051,0.095080709,1.43729917,1.700810881,0.059744921,23.1485259,0.633002953,45.09367929,388.3204642,0.00929373
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel2 mid,QL051,3765,0,25.05701196,0.09765882,1283.752335,1.821452361,1.759219035,25.04227257,6,1.42,0.5,2.556,24.12905693,25.04227257,23.99010658,1802.956543,1754.523071,12.2591753,15.33379269,37.83796692,47.32778168,349.999176,1499.551025,0.101944268,93.15901184,5.648705482,0.011089452,0.085198797,0.002945205,0.058066897,0.001611206,0.666666687,-0.219565243,2.737391472,0.58333196,0.001821452,298.1922726,297.2790569,-0.545410703,-1.081077363,3.187700009,34.21783836,18.88404567,24.58566475,3.101974896,0.094064822,1.428480975,1.673493921,0.059103183,119.593099,0.73168165,45.49281253,1741.288734,0.006546381
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel2 new,QL050,2973,0,18.70622468,0.314148177,258.918124,4.177023476,1.354144698,24.74359131,6,1.42,0.5,2.556,25.3357029,24.74359131,26.00049973,406.3583984,371.6309814,12.05563068,19.079319,34.61872864,54.78782272,350.0151367,1499.712891,0.08625859,93.15055084,3.38762331,-0.122573346,0.043743707,0.002643887,0.021773754,0.003588838,1,-0.219565243,2.737391472,0.583358561,0.004177023,297.8935913,298.4857029,-1.200689282,-2.117129209,3.131393773,33.61648154,14.53716254,25.03964711,3.187201238,0.279763514,1.777249075,1.409952164,0.177647292,24.11836587,0.696707586,60.44693743,361.7509332,0.031257252
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel2 new,QL050,3225.5,0,36.47970471,0.311474267,1476.152593,4.287395677,1.399913134,25.09708023,6,1.42,0.5,2.556,25.49917984,25.09708023,25.99625397,1797.168945,1721.988892,12.09717369,19.30387878,34.40306091,54.89815521,350.0600281,1499.452148,0.122111432,93.15301514,5.392920971,-0.067440383,0.179340854,0.001338492,0.185473323,0.002802357,1,-0.219565243,2.737391472,0.58343338,0.004287396,298.2470802,298.6491798,-0.949424626,-2.196366487,3.198127647,34.33198208,15.0281033,25.29813004,3.236634791,0.277640931,1.798214512,1.438420279,0.176278092,137.5080648,0.857237001,59.90663422,1702.721442,0.012834609
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel2 old,QL052,3992.999999,0,0.071145378,0.062780806,391.1867616,1.253140318,1.858823837,25.09710503,6,1.42,0.5,2.556,23.93152618,25.09710503,23.98954582,407.0304565,406.0362244,12.25890732,14.37627506,38.28950119,44.90288925,349.9981995,1500.387817,0.174761832,93.161026,3.834189892,0.000770123,0.039025716,0.002896625,0.019406809,0.000804765,1,-0.219565243,2.737391472,0.583330333,0.00125314,298.247105,297.0815262,-0.303487785,-0.815138504,3.198132372,34.32908061,19.95280555,24.51431561,3.088763255,0.061275743,1.339308535,1.74945472,0.038429775,36.44336007,0.963428232,41.85523212,405.9986476,7.33E-05
MQ1,MQ1/svs_licor1_150806_.xls,150806,acacel2 old,QL052,4279,0,3.016509704,0.061321607,1652.079015,1.171046406,1.77855954,24.60503578,6,1.42,0.5,2.556,23.73012543,24.60503578,23.98921585,1794.763062,1786.006592,12.26429081,14.24318027,38.77613068,45.0328064,350.0044861,1500.387817,0.120987922,93.16815186,4.610245705,-0.003126542,0.132916719,0.001750031,0.027627924,0.00147366,1,-0.219565243,2.737391472,0.58334081,0.001171046,297.7550358,296.8801254,-0.512037,-0.735673109,3.105570322,33.33296046,19.08978019,24.16758061,3.025256575,0.059884894,1.327010782,1.698245793,0.03755454,153.9211486,0.925012832,42.70896224,1784.413365,0.000721985
MQ2,MQ2/svs_licor2_150806_.xls,150806,acacel3 mid,QL055,19094.5,0,8.378474348,0.127359978,270.6518063,2.053768441,1.536274066,24.70153236,6,1.42,0.5,2.556,24.04375076,24.70153236,24.07171059,403.0446472,389.2765198,14.02016544,17.04855919,43.46899033,52.85840988,399.9654236,1499.964966,0.077088825,93.10236359,3.84865284,-0.125701815,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666609039,0.002053768,297.8515324,297.1937508,239.9943886,1.682472571,3.123535222,33.54947288,16.50091369,24.37264156,3.062675354,0.121315108,1.587261156,1.475414198,0.076342813,25.19832288,0.695268768,51.9345737,384.8512693,0.011306511
MQ2,MQ2/svs_licor2_150806_.xls,150806,acacel3 mid,QL055,19335,0,27.63606179,0.113040461,1315.583764,1.858520181,1.558420092,24.64942551,6,1.42,0.5,2.556,24.03132629,24.64942551,24.08195877,1809.969727,1763.597534,13.96412468,16.70542717,43.33001328,51.83614349,399.9863892,1500.395752,0.078091867,93.10765076,-7.040611267,-0.118693739,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666643982,0.00185852,297.7994255,297.1813263,240.0633143,1.790831084,3.113823171,33.44325784,16.73783067,24.3403759,3.056760947,0.108252918,1.555403079,1.501357869,0.068072511,122.4909137,0.745965981,50.83853857,1749.001022,0.008033026
MQ2,MQ2/svs_licor2_150806_.xls,150806,acacel3 new,QL054,18585,0,9.777114851,0.134097833,256.6951616,2.169661365,1.544931655,24.76755714,6,1.42,0.5,2.556,24.05497551,24.76755714,24.07052803,403.2289124,387.3023376,13.89157295,17.0905304,43.03529358,52.94548035,399.9891968,1500.232666,0.113132164,93.08943176,4.004490852,-0.130725861,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666648661,0.002169661,297.9175571,297.2049755,240.0372206,1.61485329,3.135879419,33.68673929,16.59620889,24.41126633,3.069768561,0.127413233,1.590947763,1.478820797,0.080208021,23.89560673,0.662777207,51.97015109,382.1383685,0.013296706
MQ2,MQ2/svs_licor2_150806_.xls,150806,acacel3 new,QL054,18832.5,0,29.13667641,0.128081383,1339.499917,2.08585817,1.551591649,24.80460358,6,1.42,0.5,2.556,24.06292725,24.80460358,24.07102585,1810.442017,1761.224609,14.01704121,17.09246826,43.40611267,52.92968369,399.9845886,1499.513672,0.004004606,93.09555054,-6.868488789,-0.125203803,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666640981,0.002085858,297.9546036,297.2129273,239.9221815,1.653266806,3.142824391,33.75912569,16.66665743,24.43376542,3.073906999,0.121969481,1.591232743,1.482674256,0.076757451,124.7014822,0.760550307,51.75996917,1745.835519,0.008638348
MQ2,MQ2/svs_licor2_150806_.xls,150806,acacel3 old,QL056,19532,0,7.602464617,0.124825991,280.1946837,1.996900577,1.523080712,24.56505775,6,1.42,0.5,2.556,23.97890854,24.56505775,24.07317543,403.2359009,390.661377,13.97123146,16.91606712,43.49038315,52.65722275,399.9790344,1501.486328,0.032038074,93.11108398,3.876528978,-0.125489905,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666631724,0.001996901,297.7150578,297.1289085,240.2378065,1.725115546,3.098154058,33.27374063,16.35767351,24.27198315,3.044257321,0.11901378,1.575073346,1.469183975,0.074884844,26.08923072,0.717231598,51.92162372,386.6459908,0.01020914
MQ2,MQ2/svs_licor2_150806_.xls,150806,acacel3 old,QL056,19726,0,27.64379732,0.146552942,1405.191458,2.258763478,1.479156251,24.49723625,6,1.42,0.5,2.556,23.90098381,24.49723625,24.07291412,1810.22998,1762.790283,13.92305279,17.25284195,43.54441833,53.95835114,399.9880981,1499.759155,0.225259259,93.11229706,-7.36477375,-0.136357024,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.66664683,0.002258763,297.6472363,297.0509838,239.9614588,1.583793664,3.085607996,33.13856594,15.88572399,24.19911003,3.030983816,0.138605728,1.606451745,1.424532071,0.087309174,130.8406045,0.797140461,53.49041047,1748.189686,0.008458339
MQ1,MQ1/svs_licor1_150823_.xls,150823,acacol1 mid,QL389,5300.499999,0,18.47549132,0.04750913,1156.889313,0.586118915,1.222852795,27.96826744,6,1.42,0.5,2.556,24.71409416,27.96826744,22.81155205,1842.304688,1818.841431,24.83922958,25.52501106,79.85139465,82.05599976,499.7144775,1499.766724,0.140024573,100.4885941,12.28014755,0.133359328,0.121106572,0.002333235,0.076322265,0.005088146,1,-0.219565243,2.737391472,0.832857463,0.000586119,301.1182674,297.8640942,-1.706253937,-0.769581487,3.787825271,37.69408165,12.16907059,26.3411808,3.442984222,0.046642178,2.564972476,0.878011746,0.029228032,116.2541806,0.636058369,67.27079259,1809.083249,0.006870115
MQ1,MQ1/svs_licor1_150823_.xls,150823,acacol1 mid,QL389,5427.999999,0,4.521087885,0.040015658,206.3372837,0.492866543,1.217358197,27.92285347,6,1.42,0.5,2.556,24.66480064,27.92285347,22.76493645,401.2052307,395.5434265,24.9049015,25.48153114,80.2938385,82.15290833,499.7740479,1500.363525,0.112020195,100.4825058,6.986423492,0.103234947,0.056148447,0.002630681,0.044836555,0.001996349,1,-0.219565243,2.737391472,0.832956747,0.000492867,301.0728535,297.8148006,-0.682248365,-0.70934046,3.777806298,37.59665693,12.11512579,26.29382706,3.433373062,0.039398846,2.560448101,0.872924961,0.024678963,20.73328731,0.521655196,67.23952833,393.155528,0.007732203
MQ1,MQ1/svs_licor1_150823_.xls,150823,acacol1 new,QL388,4946.499999,0,21.96170782,0.103734527,1431.607693,1.250181946,1.219771881,28.21909142,6,1.42,0.5,2.556,24.8749485,28.21909142,22.94538307,1843.5896,1814.500732,24.64649773,26.10818481,78.48140717,83.13583374,499.782196,1500.313477,0.108660407,100.4975052,12.41393185,0.021083541,0.049930613,0.014459824,0.07285098,0.010625813,1,-0.219565243,2.737391472,0.832970327,0.001250182,301.3690914,298.0249485,-3.524178229,-1.14939755,3.843579319,38.24551974,12.13733493,26.54701996,3.485035958,0.099688691,2.623807439,0.86122852,0.062656717,143.8730016,0.788981601,68.48848216,1802.901238,0.008342798
