site_id,tavg_recent,prec_recent,Latitude,Longitude,site_revised,date
68,18.17730135,924.400002,-33.68188,151.14428,NSW_Kuringai_bottom,17/06/2014
68,18.17730135,924.400002,-33.68188,151.14428,NSW_Kuringai_bottom,18/06/2014
68,18.17730135,924.400002,-33.68188,151.14428,NSW_Kuringai_bottom,12/06/2014
69,18.17123285,887.600001,-33.6933,151.14541,NSW_Kuringai_top,11/06/2014
69,18.17123285,887.600001,-33.6933,151.14541,NSW_Kuringai_top,29/05/2014
69,18.17123285,887.600001,-33.6933,151.14541,NSW_Kuringai_top,3/06/2014
69,18.17123285,887.600001,-33.6933,151.14541,NSW_Kuringai_top,4/06/2014
70,18.16717806,925.6000021,-33.67856,151.14825,NSW_Kuringai_bottom,13/06/2014
70,18.16717806,925.6000021,-33.67856,151.14825,NSW_Kuringai_bottom,17/06/2014
70,18.16717806,925.6000021,-33.67856,151.14825,NSW_Kuringai_bottom,12/06/2014
