batch_number,extraction_number,sample_number,species_field,species_confirmed,Latitude,Longitude,Elevation_GPS_notebook,Elevation_map,family,leaf_age,biological_rep,site,site_revised,date,leaf_FW_check,whole_leaf_FW,tech_rep_1_FW,tech_rep_2_FW,tech_rep_3_FW,WRONGtech_rep_4_FW,WRONGtech_rep_4_DW,tech_rep_4_FW,tech_rep_4_DW,whole_leaf_area(cm2),whole_leaf_area_per_whole_leaf_FW(cm2/g),tech_rep_1_leaf_area,tech_rep_2_leaf_area,tech_rep_3_leaf_area,tech_rep_4_leaf_area,technical_rep_used_for_ovalbumin_calculation,ovalbumin_added(5uL_of_0.5mg/mL_per_cm2),random_number,notes,I don't know why these numbers are here,"Protein Extract Concentration (protein assay, ug/uL)",Protein Assay %CV,Protein Extract Volume (uL),"Extract Protein Amount (ug, protein assay)","Protein per FW (mg/g, protein assay)","Protein per DW (mg/g, protein assay)","Protein per Leaf Area (mg/cm2, protein assay)",%Ovalbumin of Total Protein,"Digest Protein Amount (ug)
",Amount Protease in Digest (ug),uL Protein Extract per Digest,Date of ASPEX,ASPEX Batch,LWC,LMA
29,29-38,KG011,haklae,haklae,-33.6933,151.14541,,,Proteaceae,mid,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00752,0.99284,0.06122,0.06200,0.06820,0.79390,0.48752,0.7939,0.48752,,0,0,0,0,0,2,0.0,0.862127528,,,,,,,,,,,,,,,,0.385917622,NA
28,28-24,KG012,haklae,haklae,-33.6933,151.14541,,,Proteaceae,new,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00496,0.48058,0.06036,0.05316,0.05798,0.30412,0.1959,0.30412,0.1959,,0,0,0,0,0,2,0.0,0.728285711,,,,,,,,,,,,,,,,0.355846376,NA
,,KG013,acasau,acasau,-33.6933,151.14541,,,Mimosaceae,sen,1,Kuringai_MT_top,NSW_Kuringai_top,140603,-0.17556,0.09926,0.04790,0.08900,0.08722,0.05070,0.04572,0.0507,0.04572,,0,0,0,0,0,2,0.0,,2 leaves collected from different plants. Tech rep 1 and 4 are 1st leaf (corresponds to whole leaf FW),,,,,,,,,,,,,,,0.098224852,NA
20,20-43,KG014,acasau,acasau,-33.6933,151.14541,,,Mimosaceae,old,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00145,0.21618,0.05539,0.04810,0.05832,0.05292,0.02362,0.05292,0.02362,3.176,14.69146082,0.813760015,0.706659265,0.856805995,0.777472107,2,3.5,0.862145613,,,,,,,,,,,,,,,,0.553665911,0.030380511
20,20-13,KG015,acasau,acasau,-33.6933,151.14541,,,Mimosaceae,mid,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00084,0.19852,0.05390,0.04750,0.04934,0.04694,0.01776,0.04694,0.01776,3.411,17.18214789,0.926117772,0.816152025,0.847767177,0.806530022,2,4.1,0.755172093,,,,,,,,,,,,,,,,0.621644653,0.022020259
17,17-21,KG016,acasau,acasau,-33.6933,151.14541,,,Mimosaceae,new,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00052,0.18250,0.05112,0.03212,0.04088,0.05786,0.02392,0.05786,0.02392,3.091,16.9369863,0.86581874,0.544016,0.692384,0.979974027,2,2.7,0.264066759,,,,,,,,,,,,,,,,0.586588317,0.02440881
,,KG017,grespe,grespe,-33.6933,151.14541,,,Proteaceae,sen,1,Kuringai_MT_top,NSW_Kuringai_top,140603,-0.17316,,0.04900,0.05698,0.01802,0.04916,0.02368,0.04916,0.02368,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,,collected from 4 different plants,,,,,,,,,,,,,,,0.518307567,NA
27,27-21,KG018,grespe,grespe,-33.6933,151.14541,,,Proteaceae,old,1,Kuringai_MT_top,NSW_Kuringai_top,140603,-0.23180,,0.05362,0.06142,0.04748,6928.00000,0.03328,0.06928,0.03328,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,0.59616457,,,,,,,,,,,,,,,,0.519630485,NA
25,25-05,KG019,grespe,grespe,-33.6933,151.14541,,,Proteaceae,mid,1,Kuringai_MT_top,NSW_Kuringai_top,140603,-0.29606,,0.07762,0.07286,0.06342,0.08216,0.04498,0.08216,0.04498,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,0.348989345,,,,,,,,,,,,,,,,0.452531646,NA
31,31-09,KG020,grespe,grespe,-33.6933,151.14541,,,Proteaceae,new,1,Kuringai_MT_top,NSW_Kuringai_top,140603,-0.28930,,0.07858,0.05466,0.07170,0.08436,0.04174,0.08436,0.04174,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,0.992627745,,,,,,,,,,,,,,,,0.505215742,NA
,,KG021,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,sen,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00366,0.67696,0.05562,0.05932,0.06392,0.49444,0.291,0.49444,0.291,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,0.411455384,NA
7,DP047,KG022,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,old,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.01312,1.55066,0.06828,0.08376,0.06666,1.31884,0.66076,1.31884,0.66076,22.729,14.65762965,1.000822953,1.22772306,0.977077593,19.33106829,2,6.1,0.166640593,,,2.5,5.293182027,750,1848.4596,22.06852436,,1.505599806,,50,1,20.3,16/05/2016,3,0.498983956,0.034181246
10,10-21,KG023,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,mid,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.01850,2.01302,0.08122,0.07710,0.07500,1.76120,0.89084,1.7612,0.89084,29.999,14.90248482,1.210379817,1.14898158,1.117686362,26.24625627,2,5.7,0.478729169,,,,,,0,0,,0,,50,1,#DIV/0!,,,0.494185782,0.033941603
21,21-49,KG023,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,mid,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.01850,2.01302,0.08122,0.07710,0.07500,1.76120,0.89084,1.7612,0.89084,29.999,14.90248482,1.210379817,1.14898158,1.117686362,26.24625627,3,5.6,0.478729169,,,,,,0,0,,0,,50,1,#DIV/0!,,,0.494185782,0.033941603
8,DP065,KG024,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,new,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.02068,1.71928,0.09646,0.08172,0.07158,1.44884,0.72856,1.44884,0.72856,26.137,15.20229398,1.466413278,1.242331464,1.088180203,22.02569162,2,6.2,0.212679195,,,3.3,4.252247646,750,2476.223435,30.30131467,,1.993206729,,50,1,15.1,16/05/2016,1,0.497142542,0.033077735
,,KG025,perlev,perlev,-33.6933,151.14541,,,Proteaceae,sen,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00030,0.23408,0.05416,0.04926,0.05630,0.07406,0.06594,0.07406,0.06594,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,0.109640832,NA
25,25-09,KG026,perlev,perlev,-33.6933,151.14541,,,Proteaceae,old,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00776,0.88956,0.06228,0.06710,0.06136,0.69106,0.2876,0.69106,0.2876,,0,0,0,0,0,2,0.0,0.365263686,,,,,,,,,,,,,,,,0.583827743,NA
25,25-13,KG027,perlev,perlev,-33.6933,151.14541,,,Proteaceae,mid,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00992,0.79810,0.07442,0.05586,0.06046,0.59744,0.23478,0.59744,0.23478,,0,0,0,0,0,2,0.0,0.374629902,,,,,,,,,,,,,,,,0.607023299,NA
29,29-32,KG028,perlev,perlev,-33.6933,151.14541,,,Proteaceae,new,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00682,0.68064,0.06382,0.05326,0.05520,0.50154,0.204,0.50154,0.204,,0,0,0,0,0,2,0.0,0.850153647,,,,,,,,,,,,,,,,0.593252781,NA
,,KG029,acalon,acalon,-33.6933,151.14541,,,Mimosaceae,sen,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00254,0.45708,0.05884,0.06158,0.05724,0.27688,0.14282,0.27688,0.14282,,0,0,0,0,0,2,0.0,,from a different plant,,,,,,,,,,,,,,,0.484180873,NA
19,19-34,KG030,acalon,acalon,-33.6933,151.14541,,,Mimosaceae,old,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00660,0.46924,0.07328,0.08168,0.07380,0.23388,0.11344,0.23388,0.11344,11.303,24.0878868,1.765160344,1.967498593,1.777686046,5.633674964,2,9.8,0.621587378,,,,,,,,,,,,,,,,0.514964939,0.020136057
19,19-33,KG031,acalon,acalon,-33.6933,151.14541,,,Mimosaceae,mid,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.01034,0.50546,0.06056,0.05704,0.05764,0.31988,0.15012,0.31988,0.15012,9.919,19.6237091,1.188411823,1.119336367,1.131110592,6.277232066,2,5.6,0.620211976,,,,,,,,,,,,,,,,0.530699012,0.023914999
19,19-19,KG032,acalon,acalon,-33.6933,151.14541,,,Mimosaceae,new,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00866,0.55650,0.05478,0.05264,0.05530,0.38512,0.16342,0.38512,0.16342,13.86,24.90566038,1.364332075,1.311033962,1.377283019,9.591667925,2,6.6,0.56779776,,,,,,,,,,,,,,,,0.575664728,0.017037704
21,21-10,KG033,acauli,acauli,-33.6933,151.14541,,,Mimosaceae,old,3,Kuringai_MT_top,NSW_Kuringai_top,140604,-0.49516,,0.05728,0.06718,0.06062,0.31008,0.14962,0.31008,0.14962,,#DIV/0!,#DIV/0!,1.589,#DIV/0!,#DIV/0!,2,7.9,0.897578848,,,,,,,,,,,,,,,,0.51747936,NA
19,19-29,KG034,acauli,acauli,-33.6933,151.14541,,,Mimosaceae,mid,3,Kuringai_MT_top,NSW_Kuringai_top,140604,-0.48762,,0.08804,0.09244,0.09950,0.20764,0.09276,0.20764,0.09276,,#DIV/0!,#DIV/0!,2.081,#DIV/0!,#DIV/0!,2,10.4,0.608951158,,,,,,,,,,,,,,,,0.553265267,NA
17,17-16,KG035,acauli,acauli,-33.6933,151.14541,,,Mimosaceae,new,3,Kuringai_MT_top,NSW_Kuringai_top,140604,-0.34744,,0.07632,0.06040,0.06704,0.14368,0.05322,0.14368,0.05322,,#DIV/0!,#DIV/0!,1.677,#DIV/0!,#DIV/0!,2,8.4,0.237623236,,,,,,,,,,,,,,,,0.629593541,NA
12,12-10,KG036,corgum,corgum,-33.6933,151.14541,,,Myrtaceae,old,1,Kuringai_MT_top,NSW_Kuringai_top,140604,-0.02478,0.94322,0.05166,0.05216,0.05338,0.81080,0.45146,0.8108,0.45146,20.295,21.51671932,1.11155372,1.12231208,1.148562477,17.44575603,2,5.6,0.753496471,,,1.8,5.763799596,750,1314.944627,25.20982798,,1.171639022,,50,1,28.5,20/05/2016,9,0.443191909,0.025877927
8,DP088,KG037,corgum,corgum,-33.6933,151.14541,,,Myrtaceae,mid,1,Kuringai_MT_top,NSW_Kuringai_top,140604,0.01130,1.07530,0.07224,0.07834,0.06082,0.85260,0.4533,0.8526,0.4533,22.403,20.83418581,1.505061583,1.632150116,1.267135181,17.76322682,2,8.2,0.310257193,,,2.7,4.921234648,750,2021.072063,25.79872431,,1.238288098,,50,1,18.6,23/05/2016,11,0.46833216,0.025519012
7,DP027,KG038,corgum,corgum,-33.6933,151.14541,,,Myrtaceae,new,1,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00522,0.90032,0.06858,0.07454,0.07046,0.68152,0.33344,0.68152,0.33344,17.819,19.79185179,1.357325195,1.475284632,1.394533877,13.48854283,2,7.4,0.106294333,,4.452,2.5,5.764045424,750,1881.536099,25.24196538,,1.275371585,,50,1,19.9,16/05/2016,2,0.510740697,0.024720239
,,KG039,corgum,corgum,-33.6933,151.14541,,,Myrtaceae,sen,1,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00222,0.56334,0.07182,0.06152,0.06684,0.36094,0.18788,0.36094,0.18788,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,0.479470272,NA
,,KG040,acalon,acalon,-33.6933,151.14541,,,Mimosaceae,sen,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00030,0.28442,0.07562,0.05894,0.05546,0.09410,0.06902,0.0941,0.06902,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,0.266524973,NA
19,19-36,KG041,acalon,acalon,-33.6933,151.14541,,,Mimosaceae,old,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00646,0.45600,0.05448,0.07006,0.05530,0.26970,0.12444,0.2697,0.12444,10.138,22.23245614,1.211224211,1.557605877,1.229454825,5.996093421,2,7.8,0.644375557,,,,,,,,,,,,,,,,0.538598443,0.020753513
19,19-05,KG042,acalon,acalon,-33.6933,151.14541,,,Mimosaceae,mid,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.01254,1.04000,0.06038,0.05382,0.05716,0.85610,0.3696,0.8561,0.3696,24.941,23.98173077,1.448016904,1.29069675,1.370795731,20.53075971,2,6.5,0.520255946,,,,,,,,,,,,,,,,0.568274734,0.018002256
17,17-10,KG043,acalon,acalon,-33.6933,151.14541,,,Mimosaceae,new,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00914,0.77548,0.08460,0.07276,0.06346,0.54552,0.2001,0.54552,0.2001,19.027,24.53577139,2.07572626,1.785222727,1.557040053,13.38475401,2,8.9,0.227671315,,,,,,,,,,,,,,,,0.633194017,0.014949845
,,KG044,acasau,acasau,-33.6933,151.14541,,,Mimosaceae,sen,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00074,0.22184,0.05164,0.05070,0.04930,0.06946,0.04532,0.06946,0.04532,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,0.347538151,NA
21,21-01,KG045,acasau,acasau,-33.6933,151.14541,,,Mimosaceae,old,2,Kuringai_MT_top,NSW_Kuringai_top,140604,-0.02850,0.22262,0.06266,0.08122,0.05122,0.05602,0.02448,0.05602,0.02448,3.547,15.93297997,0.998360525,1.294076633,0.816087234,0.892565538,2,6.5,0.877121267,,,,,,,,,,,,,,,,0.56301321,0.027426557
19,19-25,KG046,acasau,acasau,-33.6933,151.14541,,,Mimosaceae,mid,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00584,0.31222,0.05784,0.05222,0.04724,0.14908,0.05886,0.14908,0.05886,5.76,18.44852988,1.067062968,0.96338223,0.871508552,2.750306835,2,4.8,0.593891341,,,,,,,,,,,,,,,,0.605178428,0.021401248
16,16-15,KG047,acasau,acasau,-33.6933,151.14541,,,Mimosaceae,new,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00632,0.32480,0.05582,0.04950,0.05508,0.15808,0.06378,0.15808,0.06378,5.272,16.23152709,0.906043842,0.803460591,0.894032512,2.565879803,2,4.0,0.056480903,,,,,,,,,,,,,,,,0.596533401,0.024856971
,,KG048,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,sen,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00236,0.39382,0.05870,0.06700,0.05402,0.21174,0.19124,0.21174,0.19124,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,0.096816851,NA
7,DP040,KG049,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,old,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00846,0.70602,0.06284,0.05384,0.06158,0.51930,0.27894,0.5193,0.27894,11.491,16.2757429,1.022767684,0.876285998,1.002260248,8.451993286,2,4.4,0.149724367,,2.845,2.2,2.599806038,750,1631.486353,30.30249541,,1.861819495,,50,1,23.0,16/05/2016,3,0.462853842,0.033002866
9,9-31,KG050,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,mid,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.01057,1.04520,0.07959,0.08750,0.08850,0.77904,0.39974,0.77904,0.39974,15.279,14.61825488,1.163466906,1.279097302,1.293715557,11.38820528,2,6.4,0.385460384,,,2.5,8.471829638,750,1889.018977,21.58878831,,1.47683759,,50,1,19.9,23/05/2016,10,0.48688129,0.035101229
7,DP025,KG051,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,new,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.01402,1.39340,0.05232,0.08446,0.06686,1.17574,0.5844,1.17574,0.5844,22.127,15.87986221,0.830834391,1.341213162,1.061727587,18.67058919,2,6.7,0.101468514,,5.522,,,,0,0,,0,,,,#DIV/0!,,,0.502951333,0.031300566
13,13-43,KG051,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,new,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.01402,1.39340,0.05232,0.08446,0.06686,1.17574,0.5844,1.17574,0.5844,22.127,15.87986221,0.830834391,1.341213162,1.061727587,18.67058919,1,4.2,0.101468514,,5.522,3.5,3.858457974,750,2618.302217,,,,,50,1,14.3,,,0.502951333,0.031300566
,,KG052,perlev,perlev,-33.6933,151.14541,,,Proteaceae,sen,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00132,0.43228,0.05972,0.05458,0.06140,0.25526,0.228,0.25526,0.228,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,0.106793074,NA
29,29-30,KG053,perlev,perlev,-33.6933,151.14541,,,Proteaceae,old,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.01022,0.71674,0.07470,0.06392,0.05088,0.51702,0.22598,0.51702,0.22598,,0,0,0,0,0,2,0.0,0.84366103,,,,,,,,,,,,,,,,0.562918262,NA
26,26-32,KG054,perlev,perlev,-33.6933,151.14541,,,Proteaceae,mid,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00886,0.68526,0.06082,0.07462,0.06644,0.47452,0.19762,0.47452,0.19762,,0,0,0,0,0,2,0.0,0.518313136,,,,,,,,,,,,,,,,0.583537048,NA
29,29-27,KG055,perlev,perlev,-33.6933,151.14541,,,Proteaceae,new,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.01124,1.02980,0.08058,0.07684,0.07510,0.78604,0.3311,0.78604,0.3311,,0,0,0,0,0,2,0.0,0.840388133,,,,,,,,,,,,,,,,0.578774617,NA
,,KG056,grespe,grespe,-33.6933,151.14541,,,Proteaceae,sen,2,Kuringai_MT_top,NSW_Kuringai_top,140604,-0.25398,,0.05556,0.05156,0.05070,0.09616,0.05956,0.09616,0.05956,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,,,,,,,,,,,,,,,,,0.380615641,NA
29,29-07,KG057,grespe,grespe,-33.6933,151.14541,,,Proteaceae,old,2,Kuringai_MT_top,NSW_Kuringai_top,140604,-0.25308,,0.05816,0.05892,0.05012,0.08588,0.04162,0.08588,0.04162,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,0.793211352,,,,,,,,,,,,,,,,0.515370284,NA
28,28-29,KG058,grespe,grespe,-33.6933,151.14541,,,Proteaceae,mid,2,Kuringai_MT_top,NSW_Kuringai_top,140604,-0.28654,,0.06426,0.05366,0.05034,0.11828,0.0581,0.11828,0.0581,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,0.733144313,,,,,,,,,,,,,,,,0.508792695,NA
22,22-33,KG059,grespe,grespe,-33.6933,151.14541,,,Proteaceae,new,2,Kuringai_MT_top,NSW_Kuringai_top,140604,-0.34540,,0.07196,0.08538,0.08140,0.10666,0.05196,0.10666,0.05196,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,0.076199036,for LICOR whole leaf went in chamber and weighed 0.03402,,,,,,,,,,,,,,,0.512844553,NA
,,KG060,haklae,haklae,-33.6933,151.14541,,,Proteaceae,sen,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00126,0.97450,0.06034,0.06222,0.06430,0.78638,0.71474,0.78638,0.71474,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,0.091100994,NA
26,26-24,KG061,haklae,haklae,-33.6933,151.14541,,,Proteaceae,old,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.01042,1.35084,0.06896,0.06734,0.05662,1.14750,0.72362,1.1475,0.72362,,0,0,0,0,0,2,0.0,0.504207387,,,,,,,,,,,,,,,,0.369394336,NA
24,24-27,KG062,haklae,haklae,-33.6933,151.14541,,,Proteaceae,mid,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.01150,1.81800,0.06740,0.06776,0.07974,1.59160,0.97148,1.5916,0.97148,,0,0,0,0,0,2,0.0,0.303697304,,,,,,,,,,,,,,,,0.389620508,NA
24,24-23,KG063,haklae,haklae,-33.6933,151.14541,,,Proteaceae,new,2,Kuringai_MT_top,NSW_Kuringai_top,140604,0.00482,1.16780,0.07418,0.07934,0.07172,0.93774,0.57692,0.93774,0.57692,,0,0,0,0,0,2,0.0,0.297309137,,,,,,,,,,,,,,,,0.384776164,NA
,,KG064,grespe,grespe,-33.6933,151.14541,,,Proteaceae,sen,3,Kuringai_MT_top,NSW_Kuringai_top,140611,-0.30728,,0.07478,0.07104,0.06082,0.10064,0.06365,0.10064,0.06365,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,,taken from multiple plants,,,,,,,,,,,,,,,0.367547695,NA
25,25-38,KG065,grespe,grespe,-33.6933,151.14541,,,Proteaceae,old,3,Kuringai_MT_top,NSW_Kuringai_top,140611,-0.21480,,0.05344,0.04488,0.06030,0.05618,0.02612,0.05618,0.02612,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,0.420556055,,,,,,,,,,,,,,,,0.53506586,NA
24,24-48,KG066,grespe,grespe,-33.6933,151.14541,,,Proteaceae,mid,3,Kuringai_MT_top,NSW_Kuringai_top,140611,-0.28806,,0.08264,0.05882,0.05278,0.09382,0.04286,0.09382,0.04286,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,0.340939159,,,,,,,,,,,,,,,,0.543167768,NA
24,24-17,KG067,grespe,grespe,-33.6933,151.14541,,,Proteaceae,new,3,Kuringai_MT_top,NSW_Kuringai_top,140611,-0.29596,,0.06766,0.06978,0.07082,0.08770,0.04426,0.0877,0.04426,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,0.270387254,mark on grevillea young leaf indicates the inside of the gasket,,,,,,,,,,,,,,,0.495324971,NA
,,KG068,acasau,acasau,-33.6933,151.14541,,,Mimosaceae,sen,3,Kuringai_MT_top,NSW_Kuringai_top,140611,-0.38162,,0.08922,0.04788,0.11508,0.12944,0.09674,0.12944,0.09674,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,,from a different plant,,,,,,,,,,,,,,,0.2526267,NA
