batch_number,extraction_number,sample_number,Extraction_repeated,Tech_rep_lost,species_field,species_confirmed,Latitude,Longitude,Elevation_GPS_notebook,Elevation_map,family,leaf_age,biological_rep,GoPro file,site,site_revised,date,whole_leaf_FW,tech_rep_1_FW,tech_rep_2_FW,tech_rep_3_FW,tech_rep_4_FW_fixed,tech_rep_4_DW_fixed,whole_leaf_area(cm2),whole_leaf_area_per_whole_leaf_FW(cm2/g),tech_rep_1_leaf_area,tech_rep_2_leaf_area,tech_rep_3_leaf_area,tech_rep_4_leaf_area,technical_rep_used_for_ovalbumin_calculation,ovalbumin_added(5uL_of_0.5mg/mL_per_cm2),random_number,notes 1,notes 2,I don't know why these numbers are here,Solvent Wash Date,Solvent Wash Page Ref,Phenol Extraction Date,Phenol Extraction Page Ref,Resuspension and Alkylation Date,Resuspension and Alkylation Page Ref,Lavapep Date,Lavapep Page Ref,Lavapep File Name,Extraction Notes,"Protein Extract Concentration (protein assay, ug/uL)",Protein Assay %CV,Protein Extract Volume (uL),"Extract Protein Amount (ug, protein assay)","Protein per FW (mg/g, protein assay)","Protein per DW (mg/g, protein assay)","Protein per Leaf Area (mg/cm2, protein assay)",%Ovalbumin of Total Protein,"Digest Protein Amount (ug)
",Amount Protease in Digest (ug),uL Protein Extract per Digest,Date of ASPEX,ASPEX Batch,tech_rep_4_FW_ERROR,tech_rep_4_DW_ERROR,LMA (g/m2),SLA (cm2/g),LWC (%),leaf_FW_check
,,QL382,0,,acacol,acacol,-18.16105,142.21069,,,Fabaceae,sen,1,438,Croydon_QLD,QLD_Croydon,150823,0.46518,0.08396,0.06332,0.07674,0.24006,0.22104,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24006,0.22104,#DIV/0!,0,7.923019245,0.00110
,,QL105,0,,grepar,grepar,-18.43758,146.13636,,,Proteaceae,sen,3,362,S_Cardwell_QLD,QLD_Cardwell_S,150809,0.65790,0.07740,0.06882,0.05690,0.45538,0.41924,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45538,0.41924,#DIV/0!,0,7.936229083,-0.00060
,,KG009,0,,haklae,haklae,-33.6933,151.14541,,,Proteaceae,sen,1,53,Kuringai_MT_top,NSW_Kuringai_top,140603,0.69174,0.06428,0.07220,0.06142,0.48970,0.45026,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48970,0.45026,#DIV/0!,0,8.053910557,0.00414
,,QL349,0,,grepar,grepar,-18.21837,142.27066,,,Proteaceae,sen,1,419,Croydon_QLD,QLD_Croydon,150822,0.40434,0.07186,0.07066,0.05876,0.20006,0.18306,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20006,0.18306,#DIV/0!,0,8.497450765,0.00300
,,KG140,0,,corgum,corgum,-33.68188,151.14428,,,Myrtaceae,sen,3,50,Kuringai_MT_bottom,NSW_Kuringai_bottom,140618,0.38710,0.05588,0.06158,0.06584,0.20334,0.18546,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20334,0.18546,#DIV/0!,0,8.793154323,0.00046
,,KG092,0,,xylpyr,xylpyr,-33.67856,151.14825,,,Proteaceae,sen,1,79,Kuringai_MT_bottom,NSW_Kuringai_bottom,140612,0.57680,0.06006,0.07640,0.05902,0.36970,0.33698,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36970,0.33698,#DIV/0!,0,8.850419259,0.01162
,,YG185,0,,corexi,corexi,-33.045,150.68326,,,Myrtaceae,sen,2,157,Yengo_S,NSW_Yengo_S,140620,1.04112,0.07586,0.05762,0.05842,0.84702,0.77190,38.304,36.79114799,2.790976487,2.119905947,2.149338866,31.16283817,2,10.6,0.599858883,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84702,0.06396,247.6988764,40.37160017,8.868739817,0.00220
,,KG060,0,,haklae,haklae,-33.6933,151.14541,,,Proteaceae,sen,2,54,Kuringai_MT_top,NSW_Kuringai_top,140604,0.97450,0.06034,0.06222,0.06430,0.78638,0.71474,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78638,0.71474,#DIV/0!,0,9.110099443,0.00126
,,YG106,0,,acafal,acafal,-32.7817,150.9291,,,Fabaceae,sen,2,103,Yengo_N,NSW_Yengo_N,140607,0.45422,0.08004,0.05540,0.04740,0.28310,0.25664,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28310,0.11148,#DIV/0!,0,9.346520664,-0.01172
,,T240,0,,banmar,banmar,-42.38724,147.05174,,,Proteaceae,sen,3,294,Tasmania_BO,TAS_Bothwell,150309,0.26608,0.06390,0.05176,0.06114,0.08936,0.08094,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08936,0.22276,#DIV/0!,0,9.42256043,-0.00008
,,YG091,0,,acafal,acafal,-32.7817,150.9291,,,Fabaceae,sen,1,104,Yengo_N,NSW_Yengo_N,140525,0.23518,0.08046,0.05058,0.03388,0.08430,0.07618,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08430,0.22948,#DIV/0!,0,9.632265718,-0.01404
,,KG048,0,,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,sen,2,51,Kuringai_MT_top,NSW_Kuringai_top,140604,0.39382,0.05870,0.06700,0.05402,0.21174,0.19124,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21174,0.19124,#DIV/0!,0,9.681685085,0.00236
,,RH062,0,,eucsoc,eucsoc,-33.03783,146.20221,,,Myrtaceae,sen,3,325,Round_Hill,NSW_Round_Hill,150406,0.31292,0.04978,0.04954,0.05056,0.15938,0.14394,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15938,0.12744,#DIV/0!,0,9.687539214,0.00366
,,KG013,0,,acasua,acasua,-33.6933,151.14541,,,Fabaceae,sen,1,57,Kuringai_MT_top,NSW_Kuringai_top,140603,0.09926,0.04790,0.89000,0.08722,0.05070,0.04572,,0,0,0,0,0,2,0.0,,2 leaves collected from different plants. Tech rep 1 and 4 are 1st leaf (corresponds to whole leaf FW),2 leaves collected from different plants. Tech rep 1 and 4 are 1st leaf (corresponds to whole leaf FW),,,,,,,,,,,,,,,,,,,,,,,,,0.05070,0.04572,#DIV/0!,0,9.822485207,-0.97656
,,QL049,0,,acacel,acacel,-17.37241,145.74322,,,Fabaceae,sen,1,327,Bartlefrer_QLD,QLD_Bartlefrere,150806,0.20706,0.07264,0.04926,0.05876,0.02472,0.02228,,0,0,0,0,0,1,0.0,,Senescent leaf taken from the tree sampled in rep 2,Senescent leaf taken from the tree sampled in rep 2,,,,,,,,,,,,,,,,,,,,,,,,,0.02472,0.02228,#DIV/0!,0,9.870550162,0.00168
,,KG128,0,,xylpyr,xylpyr,-33.67856,151.14825,,,Proteaceae,sen,3,83,Kuringai_MT_bottom,NSW_Kuringai_bottom,140617,0.30976,0.06066,0.05874,0.05486,0.11750,0.10578,,0,0,0,0,0,2,0.0,,from a different plant,from a different plant,,,,,,,,,,,,,,,,,,,,,,,,,0.11750,0.10578,#DIV/0!,0,9.974468085,0.01800
,,QL247,0,,perfal,perfal,-18.21169,145.52417,,,Proteaceae,sen,1,385,Blencoe_Falls_QLD,QLD_Blencoe_Falls,150816,1.25342,0.07848,0.08260,0.07282,1.01490,0.90820,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01490,0.9082,#DIV/0!,0,10.51335107,0.00462
,,KG052,0,,perlev,perlev,-33.6933,151.14541,,,Proteaceae,sen,2,59,Kuringai_MT_top,NSW_Kuringai_top,140604,0.43228,0.05972,0.05458,0.06140,0.25526,0.22800,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25526,0.228,#DIV/0!,0,10.67930737,0.00132
,,KG025,0,,perlev,perlev,-33.6933,151.14541,,,Proteaceae,sen,1,41,Kuringai_MT_top,NSW_Kuringai_top,140603,0.23408,0.05416,0.04926,0.05630,0.07406,0.06594,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07406,0.06594,#DIV/0!,0,10.96408318,0.00030
,,YG159,0,,acafal,acafal,-32.7817,150.9291,,,Fabaceae,sen,4,105,Yengo_N,NSW_Yengo_N,140609,0.26844,0.06310,0.06498,0.05416,0.05634,0.05006,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05634,0.09426,#DIV/0!,0,11.14660987,0.02986
,,YG050,0,,?????1,0,0,0,,,Proteaceae,sen,2,0,Yengo_N,NSW_Yengo_N,140420,0.25100,0.06800,0.05800,0.05600,0.07200,0.06390,,0,0,0,0,0,2,0.0,,broad-leafed mystery plant,broad-leafed mystery plant. Do not process.,,,,,,,,,,,,,,,,,,,,,,,,,0.07200,0.16564,#DIV/0!,0,11.25,-0.00300
,,RH113,0,,grestr,grestr,-31.29606,142.27874,,,Proteaceae,sen,3,none,Round_Hill,NSW_Mutawintji,150410,0.51430,0.07380,0.08070,0.06804,0.29064,0.25736,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29064,0.31138,#DIV/0!,0,11.4505918,0.00112
,,T365,0,,acagen,acagen,-43.0403,147.94647,,,Fabaceae,sen,1,277,Tasmania_TP,TAS_Tasman_Peninsula,150312,0.18376,0.05804,0.04948,,0.07604,0.06730,,0,0,0,0,0,1,0.0,,No Rep 3 sample,No Rep 3 sample,,,,,,,,,,,,,,,,,,,,,,,,,0.07604,0.03914,#DIV/0!,0,11.49395055,0.00020
,,RH008,0,,eucdum,eucdum,-32.96407,146.16016,,,Myrtaceae,sen,2,312,Round_Hill,NSW_Round_Hill,150405,0.10590,0.05116,,,0.05344,0.04726,,0,0,0,0,0,1,0.0,,Not enough leaf material for RH008.2 or RH008.3 samples,Not enough leaf material for RH008.2 or RH008.3 samples,,,,,,,,,,,,,,,,,,,,,,,,,0.05344,0.12598,#DIV/0!,0,11.56437126,0.00130
,,KG080,0,,euchae,euchae,-33.6933,151.14541,,,Myrtaceae,sen,3,55,Kuringai_MT_top,NSW_Kuringai_top,140611,1.40510,0.05812,0.07222,0.06982,1.19894,1.05880,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19894,1.0588,#DIV/0!,0,11.68865831,0.00600
,,QL061,0,,grehil,grehil,-17.96665,145.96806,,,Proteaceae,sen,1,344,Mt_Makay_QLD,QLD_Mt_Mackay,150808,1.45952,0.05352,0.08546,0.07002,1.23084,1.07426,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23084,1.07426,#DIV/0!,0,12.72139352,0.01968
,,KG104,0,,eucobl,eucobl,-33.68188,151.14428,,,Myrtaceae,sen,1,91,Kuringai_MT_bottom,NSW_Kuringai_bottom,140612,0.47550,0.05214,0.05516,0.06802,0.29910,0.26078,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29910,0.26078,#DIV/0!,0,12.81176864,0.00108
,,KG108,0,,xylpyr,xylpyr,-33.67856,151.14825,,,Proteaceae,sen,2,82,Kuringai_MT_bottom,NSW_Kuringai_bottom,140613,0.29628,0.05688,0.05432,0.05428,0.12568,0.10940,,0,0,0,0,0,2,0.0,,from a different plant,from a different plant,,,,,,,,,,,,,,,,,,,,,,,,,0.12568,0.1094,#DIV/0!,0,12.95353278,0.00512
,,RH050,0,,greane,greane,-33.00208,146.16899,,,Proteaceae,sen,3,319,Round_Hill,NSW_Round_Hill,150406,0.35438,0.05790,0.05250,0.06632,0.17684,0.15334,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17684,0.03286,#DIV/0!,0,13.28884868,0.00082
,,T236,0,,banmar,banmar,-42.38724,147.05174,,,Proteaceae,sen,2,293,Tasmania_BO,TAS_Bothwell,150309,0.22662,0.06430,0.05820,0.04080,0.06358,0.05508,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06358,0.19518,#DIV/0!,0,13.36898396,-0.00026
,,RH004,0,,eucdum,eucdum,-32.96407,146.16016,,,Myrtaceae,sen,1,311,Round_Hill,NSW_Round_Hill,150405,0.24052,0.07576,0.06126,0.03706,0.06294,0.05438,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06294,0.24446,#DIV/0!,0,13.60025421,0.00350
,,YG126,0,,eucpun,eucpun,-32.78244,150.92318,,,Myrtaceae,sen,3,120,Yengo_N,NSW_Yengo_N,140608,0.50500,0.07128,0.05522,0.06148,0.31348,0.26996,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31348,0.2457,#DIV/0!,0,13.88286334,0.00354
,,YG032,0,,acaimp,acaimp,-32.7817,150.9291,,,Fabaceae,sen,1,don't use this plant,Yengo_N,NSW_Yengo_N,140420,0.37000,0.05200,0.05700,0.05300,0.23800,0.20408,,0,0,0,0,0,2,0.0,,,Don't extract because plant was in a gully--see SVS notebook 9/6/14,,,,,,,,,,,,,,,,,,,,,,,,,0.23800,0.0355,#DIV/0!,0,14.25210084,-0.03000
,,T334,0,,eucglo,eucglo,-42.12299,148.34204,,,Myrtaceae,sen,1,258,Tasmania_FY,TAS_Freycinet,150311,1.01600,0.08524,0.08008,0.05318,0.74120,0.63554,,0,0,0,0,0,1,0.0,,,The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook),,,,,,,,,,,,,,,,,,,,,,,,,0.74120,0.87786,#DIV/0!,0,14.25526174,0.05630
,,RH046,0,,greane,greane,-33.00208,146.16899,,,Proteaceae,sen,2,318,Round_Hill,NSW_Round_Hill,150406,0.67492,0.07532,0.07578,0.07234,0.44538,0.38048,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44538,0.09786,#DIV/0!,0,14.57182631,0.00610
,,RH042,0,,greane,greane,-33.00208,146.16899,,,Proteaceae,sen,1,317,Round_Hill,NSW_Round_Hill,150406,0.19754,0.05904,0.05366,0.04178,0.03952,0.03366,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03952,0.11598,#DIV/0!,0,14.82793522,0.00354
,,KG072,0,,haklae,haklae,-33.6933,151.14541,,,Proteaceae,sen,3,56,Kuringai_MT_top,NSW_Kuringai_top,140611,0.37008,0.06328,0.05568,0.05354,0.19696,0.16756,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19696,0.16756,#DIV/0!,0,14.92688871,0.00062
,,KG084,0,,perlev,perlev,-33.6933,151.14541,,,Proteaceae,sen,3,61,Kuringai_MT_top,NSW_Kuringai_top,140611,0.25010,0.06424,0.05760,0.05220,0.07598,0.06462,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07598,0.06462,#DIV/0!,0,14.95130297,0.00008
21,21-37,T289,0,,acamel,acamel,-42.10667,148.33655,,,Fabaceae,sen,1,247,Tasmania_FY,TAS_Freycinet,150311,0.34612,0.06280,0.07472,0.07936,0.12824,0.10878,11.884,34.33491275,2.156232521,2.56550468,2.724818676,4.403109211,1,10.8,,,,,,,,,,,,,,,5.6,6.444841593,750,4176.054289,,,,,50,1,9.0,,,0.12824,0.0847,247.0526957,40.47719444,15.17467249,0.00100
,,YG142,0,,acafal,acafal,-32.7817,150.9291,,,Fabaceae,sen,3,106,Yengo_N,NSW_Yengo_N,140608,0.15950,0.06160,0.05240,,0.04530,0.03820,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04530,0.084,#DIV/0!,0,15.67328918,0.00020
,,T020,0,,euccoc,euccoc,-42.89145,147.22834,1202,1185,Myrtaceae,sen,2,194,Tasmania_MW,TAS_Mt_Wellington,150302,0.29492,0.05306,0.05146,0.05120,0.11698,0.09848,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11698,0.19388,#DIV/0!,0,15.81466917,0.02222
20,20-44,T371,0,,acagen,acagen,-43.0403,147.94647,,,Fabaceae,old,3,279,Tasmania_TP,TAS_Tasman_Peninsula,150312,0.19480,0.05412,0.04314,0.04022,0.05650,0.04742,7.03,36.08829569,1.953098563,1.556849076,1.451471253,2.038988706,1,9.8,0.862461993,,,,,,,,,,,,,,1.6,2.285390614,750,1214.03818,,,,,50,1,30.9,,,0.05650,0.04354,232.566271,42.99849655,16.07079646,0.00082
,,YG201,0,,corexi,corexi,-33.045,150.68326,,,Myrtaceae,sen,3,156,Yengo_S,NSW_Yengo_S,140623,0.41396,0.07792,0.05230,0.06020,0.22250,0.18580,16.235,39.2187651,3.055926176,2.051141415,2.360969659,8.726175234,2,10.3,0.437246074,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22250,0.0242,212.9226093,46.96542107,16.49438202,0.00104
,,QL263,0,,acahol,acahol,-18.31625,145.46642,,,Fabaceae,sen,2,405,Princess_Hill_QLD,QLD_Princess_Hill,150818,1.79604,0.06184,0.06178,0.05890,1.59842,1.32718,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59842,1.32718,#DIV/0!,0,16.96925714,0.01510
,,QL223,0,,"euc? (silver, smooth)",eucter,-18.22401,145.52532,,,Myrtaceae,sen,1,394,Blencoe_Falls_QLD,QLD_Blencoe_Falls,150816,1.32552,0.07924,0.09534,0.08102,1.05194,0.87024,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05194,0.87024,#DIV/0!,0,17.27284826,0.01798
,,QL365,0,,grestr,grestr,-18.21837,142.27066,,,Proteaceae,sen,2,423,Croydon_QLD,QLD_Croydon,150822,0.51392,0.07622,0.06136,0.07644,0.29116,0.24066,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29116,0.24066,#DIV/0!,0,17.34441544,0.00874
,,QL225,0,,"euc? (silver, smooth)",eucter,-18.22401,145.52532,,,Myrtaceae,sen,3,395,Blencoe_Falls_QLD,QLD_Blencoe_Falls,150816,0.44484,0.06262,0.07348,0.05946,0.24528,0.20196,,0,0,0,0,0,1,0.0,,"Sample QL225 tech_rep_1 was put in tube QL226 tech_rep_1, but the tubes have been relabelled so that sample QL225-1 is in tube QL225-1","Sample QL225 tech_rep_1 was put in tube QL226 tech_rep_1, but the tubes have been relabelled so that sample QL225-1 is in tube QL225-1",,,,,,,,,,,,,,,,,,,,,,,,,0.24528,0.20196,#DIV/0!,0,17.66144814,0.00400
,,QL373,0,,aca?,acashi,-18.21837,142.27066,,,Fabaceae,sen,1,425,Croydon_QLD,QLD_Croydon,150822,0.21592,0.06048,0.06202,,0.09672,0.07962,,0,0,0,0,0,1,0.0,,Not enough tissue for Rep 3,Not enough tissue for Rep 3,,,,,,,,,,,,,,,,,,,,,,,,,0.09672,0.07962,#DIV/0!,0,17.67990074,-0.00330
,,T212,0,,perjun,perjun,-42.38635,147.05113,,,Proteaceae,sen,2,287,Tasmania_BO,TAS_Bothwell,150309,0.11552,0.05266,,,0.06012,0.04910,,0,0,0,0,0,1,0.0,,no tech reps 2 or 3,no tech reps 2 or 3,,,,,,,,,,,,,,,,,,,,,,,,,0.06012,0.05648,#DIV/0!,0,18.33000665,0.00274
,,QL361,0,,grestr,grestr,-18.21837,142.27066,,,Proteaceae,sen,1,422,Croydon_QLD,QLD_Croydon,150822,1.30934,0.07222,0.08374,0.08770,1.05720,0.86000,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05720,0.86,#DIV/0!,0,18.65304578,0.00848
,,RH054,0,,eucsoc,eucsoc,-33.03783,146.20221,,,Myrtaceae,sen,1,323,Round_Hill,NSW_Round_Hill,150406,0.25794,0.06762,0.05650,0.05426,0.07632,0.06168,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07632,0.25682,#DIV/0!,0,19.18238994,0.00324
21,21-39,T297,0,,acamel,acamel,-42.10667,148.33655,,,Fabaceae,sen,3,249,Tasmania_FY,TAS_Freycinet,150311,0.28568,0.06266,0.05468,0.06006,0.10772,0.08672,11.902,41.66199944,2.610540885,2.278078129,2.502219686,4.48783058,1,13.1,,,,,,,,,,,,,,,6.3,6.764117637,750,4726.942636,,,,,50,1,7.9,,,0.10772,0.08758,193.233676,51.75081388,19.494987,0.00056
26,26-44,T038,0,,orirev,orirev,-42.89581,147.23627,1249,1264,Proteaceae,mid,1,none,Tasmania_MW,TAS_Mt_Wellington,150302,0.35812,0.06304,0.05186,0.06966,0.15480,0.12418,4.821,13.46196806,0.848642466,0.698137663,0.937760695,2.083912655,1,4.2,0.485077415,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15480,0.04668,595.8982959,16.78138714,19.78036176,0.01876
,,YG079,0,,angcos,angcos,-32.78244,150.92318,,,Myrtaceae,sen,2,110,Yengo_N,NSW_Yengo_N,140525,0.41092,0.06392,0.05718,0.06122,0.22650,0.18058,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22650,0.23832,#DIV/0!,0,20.27373068,0.00210
,,YG144,0,,acafal,acafal,-32.7817,150.9291,,,Fabaceae,sen,3,106,Yengo_N,NSW_Yengo_N,140608,0.39694,0.06668,0.07234,0.05866,0.19672,0.15630,,0,0,0,0,0,2,0.0,,sampling a larger senescent leaf beauce the first sample was a very samll leaf - new branch,sampling a larger senescent leaf beauce the first sample was a very samll leaf - new branch,,,,,,,,,,,,,,,,,,,,,,,,,0.19672,0.21064,#DIV/0!,0,20.54697031,0.00254
,,QL224,0,,"euc? (silver, smooth)",eucter,-18.22401,145.52532,,,Myrtaceae,sen,2,395,Blencoe_Falls_QLD,QLD_Blencoe_Falls,150816,0.54546,0.06258,0.07398,0.06900,0.32892,0.26004,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32892,0.26004,#DIV/0!,0,20.94126231,0.01098
